,Unnamed: 0,valid_from,changeset_id,tags_before,changeset_tags,comments
3843,2,2008-07-01 10:19:12+00:00,353020,{'created_by': 'JOSM'},{},
919,545,2008-08-23 17:23:06+00:00,379562,{'source': 'AND'},{},
918,544,2008-08-23 17:22:31+00:00,379562,{'source': 'AND'},{},
916,542,2008-08-23 17:22:44+00:00,379562,{'source': 'AND'},{},
913,539,2008-08-23 17:23:27+00:00,379562,{'source': 'AND'},{},
1013,639,2008-08-23 17:22:39+00:00,379562,{'source': 'AND'},{},
1011,637,2008-08-23 17:22:37+00:00,379562,{'source': 'AND'},{},
990,616,2008-08-23 17:23:15+00:00,379562,{'source': 'AND'},{},
2950,115,2008-08-23 17:48:13+00:00,379562,"{'name': 'Dihang', 'waterway': 'river', 'AND_a_w': '10000798'}",{},
672,298,2008-08-23 17:22:25+00:00,379562,{'source': 'AND'},{},
989,615,2008-08-23 17:23:13+00:00,379562,{'source': 'AND'},{},
1005,631,2008-08-23 17:23:13+00:00,379562,{'source': 'AND'},{},
920,546,2008-08-23 17:23:09+00:00,379562,{'source': 'AND'},{},
670,296,2008-08-23 17:22:46+00:00,379562,{'source': 'AND'},{},
671,297,2008-08-23 17:22:46+00:00,379562,{'source': 'AND'},{},
669,295,2008-08-23 17:23:04+00:00,379562,{'source': 'AND'},{},
667,293,2008-08-23 17:23:16+00:00,379562,{'source': 'AND'},{},
1528,1154,2008-08-23 17:22:46+00:00,379562,{'source': 'AND'},{},
666,292,2008-08-23 17:23:18+00:00,379562,{'source': 'AND'},{},
1515,1141,2008-08-23 17:22:15+00:00,379562,{'source': 'AND'},{},
1512,1138,2008-08-23 17:23:07+00:00,379562,{'source': 'AND'},{},
1511,1137,2008-08-23 17:23:04+00:00,379562,{'source': 'AND'},{},
1510,1136,2008-08-23 17:23:00+00:00,379562,{'source': 'AND'},{},
1509,1135,2008-08-23 17:23:29+00:00,379562,{'source': 'AND'},{},
1530,1156,2008-08-23 17:22:40+00:00,379562,{'source': 'AND'},{},
1066,692,2008-08-23 17:23:09+00:00,379562,{'source': 'AND'},{},
1086,712,2008-08-23 17:23:08+00:00,379562,{'source': 'AND'},{},
1085,711,2008-08-23 17:23:14+00:00,379562,{'source': 'AND'},{},
1078,704,2008-08-23 17:22:58+00:00,379562,{'source': 'AND'},{},
1063,689,2008-08-23 17:23:00+00:00,379562,{'source': 'AND'},{},
1064,690,2008-08-23 17:22:59+00:00,379562,{'source': 'AND'},{},
1062,688,2008-08-23 17:23:20+00:00,379562,{'source': 'AND'},{},
1061,687,2008-08-23 17:23:24+00:00,379562,{'source': 'AND'},{},
566,192,2008-08-23 17:22:45+00:00,379562,{'source': 'AND'},{},
910,536,2008-08-23 17:22:18+00:00,379562,{'source': 'AND'},{},
909,535,2008-08-23 17:22:50+00:00,379562,{'source': 'AND'},{},
908,534,2008-08-23 17:22:48+00:00,379562,{'source': 'AND'},{},
1075,701,2008-08-23 17:23:11+00:00,379562,{'source': 'AND'},{},
1074,700,2008-08-23 17:22:28+00:00,379562,{'source': 'AND'},{},
1073,699,2008-08-23 17:22:29+00:00,379562,{'source': 'AND'},{},
1072,698,2008-08-23 17:22:29+00:00,379562,{'source': 'AND'},{},
1070,696,2008-08-23 17:22:26+00:00,379562,{'source': 'AND'},{},
1069,695,2008-08-23 17:22:52+00:00,379562,{'source': 'AND'},{},
1068,694,2008-08-23 17:22:50+00:00,379562,{'source': 'AND'},{},
1067,693,2008-08-23 17:22:40+00:00,379562,{'source': 'AND'},{},
901,527,2008-08-23 17:23:32+00:00,379562,{'source': 'AND'},{},
1090,716,2008-08-23 17:22:33+00:00,379562,{'source': 'AND'},{},
1779,12,2008-08-23 17:23:19+00:00,379562,{'source': 'AND'},{},
1778,11,2008-08-23 17:23:11+00:00,379562,{'source': 'AND'},{},
575,201,2008-08-23 17:22:38+00:00,379562,{'source': 'AND'},{},
1089,715,2008-08-23 17:22:46+00:00,379562,{'source': 'AND'},{},
1088,714,2008-08-23 17:23:03+00:00,379562,{'source': 'AND'},{},
1093,719,2008-08-23 17:22:26+00:00,379562,{'source': 'AND'},{},
3383,548,2008-08-23 17:48:13+00:00,379562,{'created_by': 'Potlatch 0.10b'},{},
2647,880,2008-08-23 17:48:13+00:00,379562,{'source': 'AND'},{},
1706,1332,2008-08-23 17:22:39+00:00,379562,{'source': 'AND'},{},
1704,1330,2008-08-23 17:22:34+00:00,379562,{'source': 'AND'},{},
577,203,2008-08-23 17:22:24+00:00,379562,{'source': 'AND'},{},
1703,1329,2008-08-23 17:22:53+00:00,379562,{'source': 'AND'},{},
1701,1327,2008-08-23 17:23:01+00:00,379562,{'source': 'AND'},{},
578,204,2008-08-23 17:22:27+00:00,379562,{'source': 'AND'},{},
1688,1314,2008-08-23 17:22:53+00:00,379562,{'source': 'AND'},{},
1689,1315,2008-08-23 17:22:30+00:00,379562,{'source': 'AND'},{},
1690,1316,2008-08-23 17:22:32+00:00,379562,{'source': 'AND'},{},
574,200,2008-08-23 17:22:35+00:00,379562,{'source': 'AND'},{},
1679,1305,2008-08-23 17:23:20+00:00,379562,{'source': 'AND'},{},
1162,788,2008-08-23 17:22:57+00:00,379562,{'source': 'AND'},{},
1184,810,2008-08-23 17:22:58+00:00,379562,{'source': 'AND'},{},
1182,808,2008-08-23 17:23:11+00:00,379562,{'source': 'AND'},{},
1687,1313,2008-08-23 17:22:50+00:00,379562,{'source': 'AND'},{},
485,111,2008-08-23 17:22:42+00:00,379562,{'source': 'AND'},{},
484,110,2008-08-23 17:22:39+00:00,379562,{'source': 'AND'},{},
483,109,2008-08-23 17:22:37+00:00,379562,{'source': 'AND'},{},
1169,795,2008-08-23 17:22:18+00:00,379562,{'source': 'AND'},{},
482,108,2008-08-23 17:22:39+00:00,379562,{'source': 'AND'},{},
480,106,2008-08-23 17:22:48+00:00,379562,{'source': 'AND'},{},
473,99,2008-08-23 17:22:19+00:00,379562,{'source': 'AND'},{},
2187,420,2008-08-23 17:48:14+00:00,379562,{'source': 'AND'},{},
1527,1153,2008-08-23 17:23:14+00:00,379562,{'source': 'AND'},{},
387,13,2008-08-23 17:23:05+00:00,379562,{'source': 'AND'},{},
386,12,2008-08-23 17:23:05+00:00,379562,{'source': 'AND'},{},
375,1,2008-08-23 17:23:31+00:00,379562,{'source': 'AND'},{},
382,8,2008-08-23 17:22:29+00:00,379562,{'source': 'AND'},{},
