,timestamp,Sichtbar,Gelöscht
0,2007-10-01,0,
1,2007-11-01,0,
2,2007-12-01,0,
3,2008-01-01,1,
4,2008-02-01,874,
5,2008-03-01,874,
6,2008-04-01,874,
7,2008-05-01,1021,
8,2008-06-01,1022,
9,2008-07-01,1022,1.0
10,2008-08-01,1026,244.0
11,2008-09-01,797,
12,2008-10-01,807,
13,2008-11-01,812,2.0
14,2008-12-01,823,
15,2009-01-01,823,
16,2009-02-01,998,
17,2009-03-01,998,
18,2009-04-01,998,
19,2009-05-01,998,
20,2009-06-01,998,
21,2009-07-01,998,
22,2009-08-01,1003,
23,2009-09-01,1003,
24,2009-10-01,1003,
25,2009-11-01,1003,14.0
26,2009-12-01,1013,2.0
27,2010-01-01,1011,
28,2010-02-01,1011,
29,2010-03-01,1011,
30,2010-04-01,1011,
31,2010-05-01,1019,3.0
32,2010-06-01,1019,
33,2010-07-01,1047,103.0
34,2010-08-01,1011,36.0
35,2010-09-01,983,
36,2010-10-01,986,
37,2010-11-01,987,
38,2010-12-01,988,
39,2011-01-01,988,14.0
40,2011-02-01,978,1.0
41,2011-03-01,1006,1.0
42,2011-04-01,1006,
43,2011-05-01,1006,8.0
44,2011-06-01,1001,
45,2011-07-01,1035,3.0
46,2011-08-01,1037,1.0
47,2011-09-01,1060,88.0
48,2011-10-01,1089,5.0
49,2011-11-01,1117,
50,2011-12-01,1117,
51,2012-01-01,1118,
52,2012-02-01,1123,19.0
53,2012-03-01,1216,74.0
54,2012-04-01,1316,3.0
55,2012-05-01,1344,
56,2012-06-01,1347,1.0
57,2012-07-01,1387,1.0
58,2012-08-01,1387,1.0
59,2012-09-01,1386,
60,2012-10-01,1689,
61,2012-11-01,1690,
62,2012-12-01,1691,
63,2013-01-01,1691,2.0
64,2013-02-01,1966,
65,2013-03-01,1966,3.0
66,2013-04-01,1967,
67,2013-05-01,2066,2.0
68,2013-06-01,2086,1.0
69,2013-07-01,2108,6.0
70,2013-08-01,2358,1.0
71,2013-09-01,2358,283.0
72,2013-10-01,2136,2.0
73,2013-11-01,2248,5.0
74,2013-12-01,2280,
75,2014-01-01,2280,
76,2014-02-01,2280,1.0
77,2014-03-01,2279,
78,2014-04-01,2290,
79,2014-05-01,2956,1129.0
80,2014-06-01,2315,2.0
81,2014-07-01,2323,
82,2014-08-01,4951,18.0
83,2014-09-01,5924,22.0
84,2014-10-01,6022,11.0
85,2014-11-01,6039,52.0
86,2014-12-01,6048,
87,2015-01-01,6060,
88,2015-02-01,6074,
89,2015-03-01,6082,5.0
90,2015-04-01,6326,58.0
91,2015-05-01,6272,
92,2015-06-01,6273,3.0
93,2015-07-01,6305,
94,2015-08-01,6314,18.0
95,2015-09-01,6318,1.0
96,2015-10-01,6468,6.0
97,2015-11-01,6470,1.0
98,2015-12-01,6504,20.0
99,2016-01-01,6526,14.0
100,2016-02-01,6602,2.0
101,2016-03-01,6900,2.0
102,2016-04-01,7000,3.0
103,2016-05-01,7078,
104,2016-06-01,7143,4.0
105,2016-07-01,7143,2.0
106,2016-08-01,7174,264.0
107,2016-09-01,7174,1.0
108,2016-10-01,7174,
109,2016-11-01,7494,12.0
110,2016-12-01,7549,2.0
111,2017-01-01,7766,13.0
112,2017-02-01,8117,13.0
113,2017-03-01,8145,1.0
114,2017-04-01,8157,1.0
115,2017-05-01,8161,
116,2017-06-01,8162,
117,2017-07-01,8374,32.0
118,2017-08-01,8484,1.0
119,2017-09-01,8501,9.0
120,2017-10-01,8593,
121,2017-11-01,8623,8.0
122,2017-12-01,8649,
123,2018-01-01,8746,1.0
124,2018-02-01,9105,27.0
125,2018-03-01,9181,9.0
126,2018-04-01,9180,
127,2018-05-01,9219,24.0
128,2018-06-01,9219,
129,2018-07-01,9319,2.0
130,2018-08-01,9335,5.0
131,2018-09-01,10037,2.0
132,2018-10-01,10052,1.0
133,2018-11-01,10077,2.0
134,2018-12-01,10080,
135,2019-01-01,10096,2.0
136,2019-02-01,10284,5.0
137,2019-03-01,10362,
138,2019-04-01,10393,
139,2019-05-01,10400,1.0
140,2019-06-01,10400,
141,2019-07-01,10400,2.0
142,2019-08-01,10412,
143,2019-09-01,10782,8.0
144,2019-10-01,10928,
145,2019-11-01,11077,4.0
146,2019-12-01,11079,
147,2020-01-01,11159,2.0
148,2020-02-01,11270,4.0
149,2020-03-01,11281,1.0
150,2020-04-01,11297,
151,2020-05-01,11316,
152,2020-06-01,11683,24.0
153,2020-07-01,11708,195.0
154,2020-08-01,11695,1.0
155,2020-09-01,11782,3.0
156,2020-10-01,12101,7.0
157,2020-11-01,12267,
158,2020-12-01,12773,9.0
159,2021-01-01,16442,41.0
160,2021-02-01,16818,66.0
161,2021-03-01,17290,29.0
162,2021-04-01,17626,2.0
163,2021-05-01,18054,7.0
164,2021-06-01,18304,16.0
165,2021-07-01,18745,51.0
166,2021-08-01,19045,34.0
167,2021-09-01,19359,10.0
168,2021-10-01,19455,2.0
169,2021-11-01,19673,16.0
170,2021-12-01,19964,13.0
171,2022-01-01,20040,
172,2022-02-01,20123,5.0
173,2022-03-01,20557,5.0
174,2022-04-01,20608,11.0
175,2022-05-01,20958,32.0
176,2022-06-01,20977,3.0
177,2022-07-01,20990,
178,2022-08-01,21064,21.0
179,2022-09-01,21476,38.0
180,2022-10-01,21611,33.0
181,2022-11-01,22190,32.0
182,2022-12-01,22944,31.0
183,2023-01-01,27048,189.0
184,2023-02-01,27394,7.0
185,2023-03-01,27512,1.0
186,2023-04-01,29059,38.0
187,2023-05-01,30441,10.0
188,2023-06-01,31273,4.0
189,2023-07-01,32177,51.0
190,2023-08-01,34840,
191,2023-09-01,36475,
192,2023-10-01,37658,3.0
193,2023-11-01,37670,3.0
194,2023-12-01,37947,
195,2024-01-01,38007,4.0
196,2024-02-01,38578,5.0
197,2024-03-01,40147,10.0
198,2024-04-01,40186,
199,2024-05-01,40205,19.0
200,2024-06-01,40357,
201,2024-07-01,40357,1.0
