,valid_from,tags_before,comments,changeset_id
6474,2023-09-19 14:36:27+00:00,{'highway': 'track'},added track,141472543
9751,2023-09-21 15:02:47+00:00,{'highway': 'track'},detailed border region,141564072
6292,2023-09-21 16:09:28+00:00,{'boundary': 'administrative'},area,141567136
6290,2023-09-21 16:11:29+00:00,{'boundary': 'administrative'},area,141567201
9128,2023-09-21 16:23:15+00:00,"{'name': 'Դրմբոն', 'boundary': 'administrative', 'admin_level': '8'}",area,141567766
709,2023-09-22 10:33:08+00:00,"{'name': 'Getavan', 'direction': '240', 'traffic_sign': 'city_limit', 'name:hy': 'Գետավան'}",road,141598274
1420,2023-09-22 10:42:12+00:00,"{'name': 'Drmbom', 'direction': '150', 'traffic_sign': 'city_limit', 'traffic_sign:direction': 'forward', 'name:hy': 'Դրմբոն'}",ROAD,141598653
3064,2023-09-22 10:42:12+00:00,"{'name': 'Drmbon', 'direction': '225', 'traffic_sign': 'city_limit', 'name:hy': 'Դրմբոն'}",ROAD,141598653
4099,2023-09-22 10:42:12+00:00,"{'name': 'Artsakhbank', 'amenity': 'bank', 'atm': 'yes'}",ROAD,141598653
3657,2023-09-22 10:44:29+00:00,"{'name': 'Getavan', 'direction': '90', 'traffic_sign': 'city_limit', 'name:hy': 'Գետավան'}",road,141598760
3362,2023-09-23 05:51:55+00:00,"{'name': 'Ճարտար', 'place': 'town', 'name:en': 'Chartar', 'wikidata': 'Q4507477', 'wikipedia': 'ru:Чартар (собирательное название)', 'name:ru': 'Чартар', 'int_name': 'Chartar', 'name:tr': 'Çartar', 'name:hy': 'Ճարտար', 'name:az': 'Çartar', 'wikipedia:azb': 'az:Çartar'}",area,141629364
625,2023-09-23 06:01:25+00:00,"{'name': 'Tank Memorial', 'historic': 'memorial', 'memorial': 'war_memorial', 'name:tr': 'Tank Anıtı'}",update,141629542
5622,2023-09-23 16:30:15+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141652578
13922,2023-09-23 16:30:15+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141652578
6430,2023-09-23 16:30:15+00:00,"{'boundary': 'administrative', 'admin_level': '3', 'border_type': 'nation'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141652578
12346,2023-09-23 16:30:15+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141652578
8598,2023-09-23 16:30:15+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141652578
7905,2023-09-23 16:30:15+00:00,"{'name': 'Border Azerbaijan -Nagorno Karabakh', 'boundary': 'administrative', 'admin_level': '2', 'border_type': 'nation'}",Artsakh army raised the white flag on September 21. Armenian armed forces were removed from Karabakh. The state of Artsakh was abolished. Karabakh was officially recognized as Azerbaijan,141652578
867,2023-09-25 06:10:00+00:00,"{'name': 'Վարանդա', 'place': 'village', 'name:en': 'Varanda', 'wikidata': 'Q7915435', 'wikipedia': 'en:Varanda', 'name:ru': 'Варанда', 'int_name': 'Füzuli', 'name:hy': 'Վարանդա'}",area,141713971
8937,2023-09-25 06:10:37+00:00,{'landuse': 'brownfield'},area,141714001
1814,2023-09-25 06:16:05+00:00,"{'name': 'Կանաչ Թալա', 'name:en': 'Kanach Tala', 'traffic_sign': 'city_limit'}",area,141714166
695,2023-09-25 06:16:05+00:00,"{'name': 'Կանաչ Թալա', 'name:en': 'Kanach Tala', 'traffic_sign': 'city_limit'}",area,141714166
3693,2023-09-25 06:16:48+00:00,"{'name': 'Տասը Վերստ', 'name:en': 'Tas Verst', 'traffic_sign': 'city_limit'}",area,141714191
