,timestamp,Sichtbar,Gelöscht
0,2007-10-01,235,
1,2007-11-01,469,
2,2007-12-01,469,1.0
3,2008-01-01,472,237.0
4,2008-02-01,320,
5,2008-03-01,322,1.0
6,2008-04-01,322,1.0
7,2008-05-01,320,
8,2008-06-01,320,
9,2008-07-01,320,
10,2008-08-01,321,
11,2008-09-01,321,
12,2008-10-01,322,1.0
13,2008-11-01,321,
14,2008-12-01,321,
15,2009-01-01,321,
16,2009-02-01,321,
17,2009-03-01,321,
18,2009-04-01,321,
19,2009-05-01,324,1.0
20,2009-06-01,324,
21,2009-07-01,328,
22,2009-08-01,328,
23,2009-09-01,328,54.0
24,2009-10-01,276,
25,2009-11-01,276,
26,2009-12-01,279,
27,2010-01-01,279,
28,2010-02-01,279,
29,2010-03-01,279,
30,2010-04-01,279,
31,2010-05-01,279,
32,2010-06-01,279,
33,2010-07-01,287,
34,2010-08-01,300,1.0
35,2010-09-01,341,2.0
36,2010-10-01,342,1.0
37,2010-11-01,342,
38,2010-12-01,450,2.0
39,2011-01-01,450,
40,2011-02-01,450,
41,2011-03-01,465,
42,2011-04-01,465,
43,2011-05-01,465,
44,2011-06-01,546,
45,2011-07-01,1035,16.0
46,2011-08-01,1035,
47,2011-09-01,1480,3.0
48,2011-10-01,1522,4.0
49,2011-11-01,3591,70.0
50,2011-12-01,3674,
51,2012-01-01,3674,
52,2012-02-01,3689,4.0
53,2012-03-01,3692,
54,2012-04-01,4872,21.0
55,2012-05-01,5016,5.0
56,2012-06-01,5016,
57,2012-07-01,6897,59.0
58,2012-08-01,6986,477.0
59,2012-09-01,8498,33.0
60,2012-10-01,9008,258.0
61,2012-11-01,9020,4.0
62,2012-12-01,9214,
63,2013-01-01,9297,
64,2013-02-01,9303,5.0
65,2013-03-01,9434,3.0
66,2013-04-01,9590,3.0
67,2013-05-01,10018,1.0
68,2013-06-01,10061,
69,2013-07-01,10218,3.0
70,2013-08-01,10228,
71,2013-09-01,10300,1.0
72,2013-10-01,10342,
73,2013-11-01,10343,10.0
74,2013-12-01,10454,2.0
75,2014-01-01,10477,
76,2014-02-01,11491,
77,2014-03-01,11710,5.0
78,2014-04-01,11794,3.0
79,2014-05-01,11943,119.0
80,2014-06-01,14932,9.0
81,2014-07-01,16455,1777.0
82,2014-08-01,15446,44.0
83,2014-09-01,15822,
84,2014-10-01,17336,4.0
85,2014-11-01,17452,2.0
86,2014-12-01,17734,5.0
87,2015-01-01,17730,
88,2015-02-01,17819,2.0
89,2015-03-01,17866,16.0
90,2015-04-01,17877,1.0
91,2015-05-01,17931,3.0
92,2015-06-01,20332,64.0
93,2015-07-01,23532,51.0
94,2015-08-01,25349,41.0
95,2015-09-01,26341,8.0
96,2015-10-01,26992,498.0
97,2015-11-01,27250,31.0
98,2015-12-01,29116,75.0
99,2016-01-01,29845,3.0
100,2016-02-01,29894,27.0
101,2016-03-01,29898,
102,2016-04-01,30099,1.0
103,2016-05-01,30408,4.0
104,2016-06-01,30459,
105,2016-07-01,30846,4.0
106,2016-08-01,31012,15.0
107,2016-09-01,31139,17.0
108,2016-10-01,31300,3.0
109,2016-11-01,31629,3.0
110,2016-12-01,31768,11.0
111,2017-01-01,32127,10.0
112,2017-02-01,32220,7.0
113,2017-03-01,33329,369.0
114,2017-04-01,33100,21.0
115,2017-05-01,33485,14.0
116,2017-06-01,33845,9.0
117,2017-07-01,33978,11.0
118,2017-08-01,34164,8.0
119,2017-09-01,34703,4.0
120,2017-10-01,35932,29.0
121,2017-11-01,36713,7.0
122,2017-12-01,36770,
123,2018-01-01,36876,4.0
124,2018-02-01,38507,74.0
125,2018-03-01,38850,13.0
126,2018-04-01,38857,1.0
127,2018-05-01,39779,29.0
128,2018-06-01,39943,14.0
129,2018-07-01,40089,10.0
130,2018-08-01,40279,4.0
131,2018-09-01,40452,6.0
132,2018-10-01,40987,11.0
133,2018-11-01,41518,28.0
134,2018-12-01,41686,8.0
135,2019-01-01,41840,24.0
136,2019-02-01,42702,24.0
137,2019-03-01,42961,175.0
138,2019-04-01,43588,82.0
139,2019-05-01,47494,257.0
140,2019-06-01,47802,8.0
141,2019-07-01,47962,41.0
142,2019-08-01,48357,27.0
143,2019-09-01,48587,34.0
144,2019-10-01,48938,15.0
145,2019-11-01,50236,69.0
146,2019-12-01,50470,26.0
147,2020-01-01,50696,11.0
148,2020-02-01,51114,36.0
149,2020-03-01,52036,78.0
150,2020-04-01,54017,347.0
151,2020-05-01,54522,52.0
152,2020-06-01,54956,85.0
153,2020-07-01,55528,87.0
154,2020-08-01,56064,52.0
155,2020-09-01,56306,26.0
156,2020-10-01,57981,98.0
157,2020-11-01,60047,266.0
158,2020-12-01,61260,106.0
159,2021-01-01,61398,105.0
160,2021-02-01,61404,65.0
161,2021-03-01,61452,42.0
162,2021-04-01,62272,487.0
163,2021-05-01,62165,452.0
164,2021-06-01,61882,13.0
165,2021-07-01,61942,11.0
166,2021-08-01,62013,
167,2021-09-01,62049,43.0
168,2021-10-01,62072,6.0
169,2021-11-01,62367,87.0
170,2021-12-01,62395,1.0
171,2022-01-01,62831,35.0
172,2022-02-01,63823,143.0
173,2022-03-01,63901,6.0
174,2022-04-01,63921,15.0
175,2022-05-01,64001,53.0
176,2022-06-01,64027,12.0
177,2022-07-01,64029,6.0
178,2022-08-01,64801,25.0
179,2022-09-01,64829,11.0
180,2022-10-01,64903,6.0
181,2022-11-01,65205,16.0
182,2022-12-01,65304,24.0
183,2023-01-01,65454,26.0
184,2023-02-01,65504,19.0
185,2023-03-01,65869,55.0
186,2023-04-01,65913,39.0
187,2023-05-01,65990,17.0
188,2023-06-01,65993,1.0
189,2023-07-01,66055,11.0
190,2023-08-01,66143,92.0
191,2023-09-01,66606,286.0
192,2023-10-01,66684,4453.0
193,2023-11-01,66501,14.0
194,2023-12-01,66545,
195,2024-01-01,66567,999.0
196,2024-02-01,65870,729.0
197,2024-03-01,66300,210.0
198,2024-04-01,66393,17.0
199,2024-05-01,67251,245.0
200,2024-06-01,67286,87.0
201,2024-07-01,67666,116.0
202,2024-08-01,67704,
