,Unnamed: 0,valid_from,changeset_id,tags_before,changeset_tags,geometry,comments
33054,2368,2013-08-27 09:51:53+00:00,17532542,{'highway': 'tertiary'},"{'created_by': 'JOSM/1.5 (6115 en)', 'comment': 'Added Highways, Muzaffarabad'}",,"Added Highways, Muzaffarabad"
30700,14,2013-08-27 13:55:16+00:00,17537068,{'highway': 'unclassified'},"{'created_by': 'JOSM/1.5 (6201 en)', 'comment': 'Added and fixed Highways, Muzaffarabad'}",,"Added and fixed Highways, Muzaffarabad"
30701,15,2013-08-27 13:56:58+00:00,17537068,{'highway': 'track'},"{'created_by': 'JOSM/1.5 (6201 en)', 'comment': 'Added and fixed Highways, Muzaffarabad'}",,"Added and fixed Highways, Muzaffarabad"
37823,7137,2013-08-27 13:55:16+00:00,17537068,{'highway': 'unclassified'},"{'created_by': 'JOSM/1.5 (6201 en)', 'comment': 'Added and fixed Highways, Muzaffarabad'}",,"Added and fixed Highways, Muzaffarabad"
698,626,2013-09-01 02:32:25+00:00,17612349,"{'Lat': '32.48934', 'Long': '74.97878', 'Place': 'Kotla', 'Sl_No': '38002.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
699,627,2013-09-01 02:32:30+00:00,17612349,"{'Lat': '32.49696', 'Long': '74.75284', 'Place': 'Jandran', 'Sl_No': '38030.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
700,628,2013-09-01 02:32:35+00:00,17612349,"{'Lat': '32.50248', 'Long': '74.85347', 'Place': 'Pindi Charkan Kalan', 'Sl_No': '24639.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
701,629,2013-09-01 02:32:38+00:00,17612349,"{'Lat': '32.50833', 'Long': '74.99861', 'Place': 'Pakhri', 'Sl_No': '24656.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
16356,16284,2013-09-01 02:32:22+00:00,17612349,"{'Lat': '32.47579', 'Long': '74.96634', 'Place': 'Chak Paras', 'Sl_No': '37997.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
16357,16285,2013-09-01 02:32:24+00:00,17612349,"{'Lat': '32.48178', 'Long': '74.79067', 'Place': 'Kotha', 'Sl_No': '38024.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
16358,16286,2013-09-01 02:32:25+00:00,17612349,"{'Lat': '32.48676', 'Long': '74.95661', 'Place': 'Dadial', 'Sl_No': '38005.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
16359,16287,2013-09-01 02:32:34+00:00,17612349,"{'Lat': '32.50122', 'Long': '75.81421', 'Place': 'Basoli', 'Sl_No': '18260.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
702,630,2013-09-01 02:32:40+00:00,17612349,"{'Lat': '32.51345', 'Long': '74.90279', 'Place': 'Kotli Takaliyan', 'Sl_No': '24682.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
703,631,2013-09-01 02:32:41+00:00,17612349,"{'Lat': '32.51382', 'Long': '74.7733', 'Place': 'Chak Shera', 'Sl_No': '24710.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
16362,16290,2013-09-01 02:33:04+00:00,17612349,"{'Lat': '32.56389', 'Long': '74.94722', 'Place': 'Gujjar Maira', 'Sl_No': '24765.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
16363,16291,2013-09-01 02:33:07+00:00,17612349,"{'Lat': '32.57162', 'Long': '74.87065', 'Place': 'Chak Hasil', 'Sl_No': '24787.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
15297,15225,2013-09-01 02:32:41+00:00,17612349,"{'Lat': '32.51524', 'Long': '74.91396', 'Place': 'Chak Shama', 'Sl_No': '24681.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
15298,15226,2013-09-01 02:32:43+00:00,17612349,"{'Lat': '32.51826', 'Long': '74.76818', 'Place': 'Mohanpur', 'Sl_No': '24714.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
15299,15227,2013-09-01 02:32:46+00:00,17612349,"{'Lat': '32.53088', 'Long': '74.84468', 'Place': 'Khoaspur', 'Sl_No': '24701.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
15300,15228,2013-09-01 02:32:47+00:00,17612349,"{'Lat': '32.53333', 'Long': '74.84583', 'Place': 'Fatehgarh', 'Sl_No': '24699.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
15301,15229,2013-09-01 02:32:47+00:00,17612349,"{'Lat': '32.53477', 'Long': '74.89832', 'Place': 'Chak Chimna', 'Sl_No': '24685.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
15302,15230,2013-09-01 02:32:47+00:00,17612349,"{'Lat': '32.53502', 'Long': '74.93055', 'Place': 'Swankha', 'Sl_No': '24676.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
15303,15231,2013-09-01 02:32:55+00:00,17612349,"{'Lat': '32.5506', 'Long': '74.93586', 'Place': 'Reka Logiyan', 'Sl_No': '24742.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
15304,15232,2013-09-01 02:32:58+00:00,17612349,"{'Lat': '32.55539', 'Long': '74.84303', 'Place': 'Pasgal', 'Sl_No': '24790.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
15305,15233,2013-09-01 02:33:02+00:00,17612349,"{'Lat': '32.56249', 'Long': '74.7543', 'Place': 'Balah', 'Sl_No': '24722.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
15306,15234,2013-09-01 02:33:03+00:00,17612349,"{'Lat': '32.56267', 'Long': '74.87532', 'Place': 'Rehal', 'Sl_No': '24782.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
15291,15219,2013-09-01 02:32:28+00:00,17612349,"{'Lat': '32.49152', 'Long': '74.9474', 'Place': 'Dhupiri', 'Sl_No': '38006.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
15292,15220,2013-09-01 02:32:28+00:00,17612349,"{'Lat': '32.49228', 'Long': '74.9534', 'Place': 'Mandlial', 'Sl_No': '38004.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
16360,16288,2013-09-01 02:32:45+00:00,17612349,"{'Lat': '32.52639', 'Long': '74.88611', 'Place': 'Chak Nazar', 'Sl_No': '24684.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
16361,16289,2013-09-01 02:32:55+00:00,17612349,"{'Lat': '32.55005', 'Long': '74.85276', 'Place': 'Morchapur', 'Sl_No': '24734.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
15295,15223,2013-09-01 02:32:37+00:00,17612349,"{'Lat': '32.50589', 'Long': '75.12258', 'Place': 'Raiyan', 'Sl_No': '4738.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
15296,15224,2013-09-01 02:32:40+00:00,17612349,"{'Lat': '32.5117', 'Long': '74.75864', 'Place': 'Panjgirain', 'Sl_No': '24711.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
14249,14177,2013-09-01 02:32:22+00:00,17612349,"{'Lat': '32.47802', 'Long': '74.92699', 'Place': 'Jugwal', 'Sl_No': '38010.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
14250,14178,2013-09-01 02:32:24+00:00,17612349,"{'Lat': '32.4824', 'Long': '74.9145', 'Place': 'Bamun Chak', 'Sl_No': '38013.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
14251,14179,2013-09-01 02:32:25+00:00,17612349,"{'Lat': '32.48656', 'Long': '74.7818', 'Place': 'Dinga', 'Sl_No': '38026.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
14252,14180,2013-09-01 02:32:28+00:00,17612349,"{'Lat': '32.49482', 'Long': '74.7823', 'Place': 'Shahpur', 'Sl_No': '38023.0'}","{'created_by': 'osmtools/19106 (linux)', 'bot': 'yes', 'comment': 'remove un-discussed and faulty import of India place names'}",,remove un-discussed and faulty import of India place names
