,timestamp,Sichtbar,Gelöscht
0,2007-10-01,72,1.0
1,2007-11-01,73,
2,2007-12-01,74,
3,2008-01-01,7659,24.0
4,2008-02-01,11500,1.0
5,2008-03-01,12018,964.0
6,2008-04-01,12018,
7,2008-05-01,12018,
8,2008-06-01,12112,105.0
9,2008-07-01,12115,1.0
10,2008-08-01,12150,15.0
11,2008-09-01,16808,263.0
12,2008-10-01,17265,72.0
13,2008-11-01,17331,42.0
14,2008-12-01,17433,3.0
15,2009-01-01,17612,8.0
16,2009-02-01,17763,60.0
17,2009-03-01,17719,
18,2009-04-01,17721,
19,2009-05-01,17782,33.0
20,2009-06-01,17769,22.0
21,2009-07-01,17963,138.0
22,2009-08-01,18001,4.0
23,2009-09-01,18851,48.0
24,2009-10-01,18909,16.0
25,2009-11-01,18933,42.0
26,2009-12-01,18957,778.0
27,2010-01-01,18207,
28,2010-02-01,18214,15.0
29,2010-03-01,18253,8.0
30,2010-04-01,20425,23.0
31,2010-05-01,20670,24.0
32,2010-06-01,20765,297.0
33,2010-07-01,20755,4.0
34,2010-08-01,20765,1.0
35,2010-09-01,21030,15.0
36,2010-10-01,21088,3.0
37,2010-11-01,21116,1.0
38,2010-12-01,21170,21.0
39,2011-01-01,21430,72.0
40,2011-02-01,21675,59.0
41,2011-03-01,22079,21.0
42,2011-04-01,22079,1.0
43,2011-05-01,22155,42.0
44,2011-06-01,22156,
45,2011-07-01,22224,4.0
46,2011-08-01,22670,104.0
47,2011-09-01,22739,11.0
48,2011-10-01,22978,7.0
49,2011-11-01,23000,2.0
50,2011-12-01,23000,8.0
51,2012-01-01,23084,14.0
52,2012-02-01,24873,29.0
53,2012-03-01,25091,50.0
54,2012-04-01,25273,20.0
55,2012-05-01,25428,6.0
56,2012-06-01,26748,63.0
57,2012-07-01,27370,8878.0
58,2012-08-01,19038,6.0
59,2012-09-01,19273,5.0
60,2012-10-01,19675,18.0
61,2012-11-01,19943,50.0
62,2012-12-01,20419,14.0
63,2013-01-01,20691,16.0
64,2013-02-01,20703,1.0
65,2013-03-01,23210,18.0
66,2013-04-01,23893,74.0
67,2013-05-01,24015,50.0
68,2013-06-01,24151,24.0
69,2013-07-01,24803,11.0
70,2013-08-01,34537,25.0
71,2013-09-01,34538,8918.0
72,2013-10-01,26801,47.0
73,2013-11-01,26902,942.0
74,2013-12-01,26690,3.0
75,2014-01-01,27001,12.0
76,2014-02-01,27297,56.0
77,2014-03-01,27430,13.0
78,2014-04-01,30048,214.0
79,2014-05-01,30199,16.0
80,2014-06-01,31960,82.0
81,2014-07-01,33016,95.0
82,2014-08-01,33279,3.0
83,2014-09-01,33655,15.0
84,2014-10-01,33840,6.0
85,2014-11-01,33957,1.0
86,2014-12-01,35240,71.0
87,2015-01-01,35421,8.0
88,2015-02-01,36770,16.0
89,2015-03-01,37153,37.0
90,2015-04-01,37319,5.0
91,2015-05-01,37834,14.0
92,2015-06-01,38055,9.0
93,2015-07-01,38255,6.0
94,2015-08-01,39688,134.0
95,2015-09-01,40151,18.0
96,2015-10-01,40883,2.0
97,2015-11-01,45331,5.0
98,2015-12-01,48604,74.0
99,2016-01-01,53304,5.0
100,2016-02-01,100002,536.0
101,2016-03-01,115778,238.0
102,2016-04-01,117001,1790.0
103,2016-05-01,124379,51.0
104,2016-06-01,124378,1971.0
105,2016-07-01,122841,347.0
106,2016-08-01,122724,1058.0
107,2016-09-01,122797,1063.0
108,2016-10-01,122115,22.0
109,2016-11-01,122487,8.0
110,2016-12-01,126047,77.0
111,2017-01-01,127004,38.0
112,2017-02-01,128667,13.0
113,2017-03-01,129106,18.0
114,2017-04-01,129904,26.0
115,2017-05-01,130181,6.0
116,2017-06-01,130606,1.0
117,2017-07-01,132648,31.0
118,2017-08-01,137660,92.0
119,2017-09-01,139326,12.0
120,2017-10-01,142331,87.0
121,2017-11-01,146679,18.0
122,2017-12-01,149722,34.0
123,2018-01-01,151535,14.0
124,2018-02-01,154405,26.0
125,2018-03-01,154959,20.0
126,2018-04-01,156522,39.0
127,2018-05-01,156618,28.0
128,2018-06-01,157467,13.0
129,2018-07-01,159115,49.0
130,2018-08-01,159261,5.0
131,2018-09-01,161057,10.0
132,2018-10-01,161881,15.0
133,2018-11-01,162683,23.0
134,2018-12-01,163121,3.0
135,2019-01-01,163465,11.0
136,2019-02-01,164925,26.0
137,2019-03-01,169319,186.0
138,2019-04-01,173031,77.0
139,2019-05-01,173446,38.0
140,2019-06-01,173900,17.0
141,2019-07-01,174503,24.0
142,2019-08-01,175609,107.0
143,2019-09-01,176230,82.0
144,2019-10-01,176295,1201.0
145,2019-11-01,175755,65.0
146,2019-12-01,176018,89.0
147,2020-01-01,177157,79.0
148,2020-02-01,177335,
149,2020-03-01,181190,17.0
150,2020-04-01,182047,19.0
151,2020-05-01,184484,26.0
152,2020-06-01,185853,111.0
153,2020-07-01,189044,163.0
154,2020-08-01,190007,112.0
155,2020-09-01,192101,56.0
156,2020-10-01,194340,36.0
157,2020-11-01,195016,33.0
158,2020-12-01,195908,60.0
159,2021-01-01,196317,333.0
160,2021-02-01,196625,188.0
161,2021-03-01,197648,40.0
162,2021-04-01,198467,16.0
163,2021-05-01,199188,12.0
164,2021-06-01,199787,88.0
165,2021-07-01,202516,82.0
166,2021-08-01,203325,85.0
167,2021-09-01,206074,30.0
168,2021-10-01,207084,154.0
169,2021-11-01,207242,8.0
170,2021-12-01,207590,450.0
171,2022-01-01,208315,35.0
172,2022-02-01,209225,35.0
173,2022-03-01,220801,1506.0
174,2022-04-01,227457,124.0
175,2022-05-01,229502,93.0
176,2022-06-01,232188,184.0
177,2022-07-01,233571,160.0
178,2022-08-01,234531,67.0
179,2022-09-01,235957,105.0
180,2022-10-01,236382,55.0
181,2022-11-01,237565,176.0
182,2022-12-01,284608,1948.0
183,2023-01-01,285245,50.0
184,2023-02-01,287129,48.0
185,2023-03-01,303217,475.0
186,2023-04-01,307829,134.0
187,2023-05-01,309150,44.0
188,2023-06-01,309468,26.0
189,2023-07-01,309470,551.0
190,2023-08-01,310284,34.0
191,2023-09-01,311011,73.0
192,2023-10-01,311447,49.0
193,2023-11-01,314013,2663.0
194,2023-12-01,311969,16.0
195,2024-01-01,313725,42.0
196,2024-02-01,314699,62.0
197,2024-03-01,315112,86.0
198,2024-04-01,315514,77.0
199,2024-05-01,317280,38.0
200,2024-06-01,320590,43.0
201,2024-07-01,322556,43.0
