,timestamp,Sichtbar,Gelöscht
0,2022-04-01,69089,6.0
1,2007-10-01,0,
2,2022-04-01,69089,6.0
3,2007-11-01,0,
4,2022-04-01,69089,6.0
5,2007-12-01,0,
6,2022-04-01,69087,6.0
7,2008-01-01,0,
8,2022-04-01,69088,6.0
9,2008-02-01,0,
10,2022-04-01,69092,6.0
11,2008-03-01,0,
12,2022-04-01,69092,6.0
13,2008-04-01,0,
14,2022-04-01,69092,6.0
15,2008-05-01,0,
16,2022-04-01,69104,6.0
17,2008-06-01,0,
18,2022-04-01,69104,6.0
19,2008-07-01,0,
20,2022-04-01,69104,6.0
21,2008-08-01,0,
22,2022-04-01,69104,6.0
23,2008-09-01,0,
24,2022-04-01,69104,6.0
25,2008-10-01,0,
26,2022-04-01,69104,6.0
27,2008-11-01,0,
28,2022-04-01,69104,6.0
29,2008-12-01,0,
30,2022-04-01,69105,6.0
31,2009-01-01,0,
32,2022-04-01,69105,6.0
33,2009-02-01,0,
34,2022-04-01,69105,6.0
35,2009-03-01,1,
36,2022-04-01,69105,6.0
37,2009-04-01,1,
38,2022-04-01,69107,6.0
39,2009-05-01,1,1.0
40,2022-04-01,69108,6.0
41,2009-06-01,1,
42,2022-04-01,69109,6.0
43,2009-07-01,262,2.0
44,2022-04-01,69110,6.0
45,2009-08-01,262,
46,2022-04-01,69110,6.0
47,2009-09-01,262,
48,2022-05-01,69119,10.0
49,2009-10-01,263,
50,2022-05-01,69119,10.0
51,2009-11-01,263,
52,2022-05-01,69119,10.0
53,2009-12-01,263,
54,2022-05-01,69133,10.0
55,2010-01-01,263,
56,2022-05-01,69133,10.0
57,2010-02-01,263,4.0
58,2022-05-01,69133,10.0
59,2010-03-01,260,2.0
60,2022-05-01,69133,10.0
61,2010-04-01,259,1.0
62,2022-05-01,69134,10.0
63,2010-05-01,262,
64,2022-05-01,69134,10.0
65,2010-06-01,262,
66,2022-05-01,69135,10.0
67,2010-07-01,261,
68,2022-05-01,69135,10.0
69,2010-08-01,261,
70,2022-05-01,69135,10.0
71,2010-09-01,261,
72,2022-05-01,69135,10.0
73,2010-10-01,264,
74,2022-05-01,69135,10.0
75,2010-11-01,266,1.0
76,2022-05-01,69135,10.0
77,2010-12-01,266,
78,2022-05-01,69135,10.0
79,2011-01-01,266,
80,2022-05-01,69135,10.0
81,2011-02-01,266,
82,2022-05-01,69136,10.0
83,2011-03-01,266,
84,2022-05-01,69137,10.0
85,2011-04-01,271,2.0
86,2022-05-01,69137,10.0
87,2011-05-01,270,2.0
88,2022-05-01,69137,10.0
89,2011-06-01,293,6.0
90,2022-05-01,69137,10.0
91,2011-07-01,303,2.0
92,2022-05-01,69137,10.0
93,2011-08-01,304,3.0
94,2022-05-01,69137,10.0
95,2011-09-01,305,
96,2022-05-01,69139,10.0
97,2011-10-01,308,
98,2022-06-01,69143,2.0
99,2011-11-01,309,
100,2022-06-01,69143,2.0
101,2011-12-01,310,2.0
102,2022-06-01,69143,2.0
103,2012-01-01,311,1.0
104,2022-06-01,69143,2.0
105,2012-02-01,312,
106,2022-06-01,69282,2.0
107,2012-03-01,324,
108,2022-06-01,69282,2.0
109,2012-04-01,326,5.0
110,2022-06-01,69284,2.0
111,2012-05-01,335,
112,2022-06-01,69284,2.0
113,2012-06-01,338,
114,2022-06-01,69292,2.0
115,2012-07-01,343,
116,2022-06-01,69294,2.0
117,2012-08-01,346,
118,2022-06-01,69294,2.0
119,2012-09-01,806,
120,2022-06-01,69297,2.0
121,2012-10-01,1156,2.0
122,2022-06-01,69297,2.0
123,2012-11-01,1545,40.0
124,2022-06-01,69297,2.0
125,2012-12-01,1508,28.0
126,2022-06-01,69297,2.0
127,2013-01-01,1514,
128,2022-06-01,69298,2.0
129,2013-02-01,1576,1.0
130,2022-06-01,69304,2.0
131,2013-03-01,1591,1.0
132,2022-06-01,69304,2.0
133,2013-04-01,1602,1.0
134,2022-06-01,69304,2.0
135,2013-05-01,1670,87.0
136,2022-06-01,69304,2.0
137,2013-06-01,1633,
138,2022-06-01,69306,2.0
139,2013-07-01,1634,2.0
140,2022-06-01,69399,2.0
141,2013-08-01,1644,1.0
142,2022-06-01,69501,2.0
143,2013-09-01,1653,
144,2022-07-01,69541,28.0
145,2013-10-01,2988,3.0
146,2022-07-01,69543,28.0
147,2013-11-01,3008,3.0
148,2022-07-01,69645,28.0
149,2013-12-01,3037,
150,2022-07-01,69732,28.0
151,2014-01-01,3059,17.0
152,2022-07-01,69745,28.0
153,2014-02-01,3456,386.0
154,2022-07-01,69780,28.0
155,2014-03-01,3106,5.0
156,2022-07-01,69781,28.0
157,2014-04-01,3109,13.0
158,2022-07-01,69833,28.0
159,2014-05-01,3123,8.0
160,2022-07-01,69833,28.0
161,2014-06-01,3154,26.0
162,2022-07-01,69833,28.0
163,2014-07-01,3227,2.0
164,2022-07-01,69990,28.0
165,2014-08-01,3229,1.0
166,2022-07-01,69990,28.0
167,2014-09-01,3239,1.0
168,2022-07-01,69990,28.0
169,2014-10-01,3280,3.0
170,2022-07-01,70014,28.0
171,2014-11-01,3285,
172,2022-07-01,70057,28.0
173,2014-12-01,4904,5.0
174,2022-07-01,70057,28.0
175,2015-01-01,4918,2.0
176,2022-07-01,70058,28.0
177,2015-02-01,4936,1.0
178,2022-07-01,70059,28.0
179,2015-03-01,4937,
180,2022-07-01,70066,28.0
181,2015-04-01,5095,3.0
182,2022-07-01,70066,28.0
183,2015-05-01,5411,28.0
184,2022-07-01,70066,28.0
185,2015-06-01,5533,5.0
186,2022-07-01,70075,28.0
187,2015-07-01,5608,2.0
188,2022-07-01,70077,28.0
189,2015-08-01,5624,5.0
190,2022-07-01,70079,28.0
191,2015-09-01,5644,
192,2022-08-01,70086,9.0
193,2015-10-01,5846,4.0
194,2022-08-01,70086,9.0
195,2015-11-01,6708,2.0
196,2022-08-01,70116,9.0
197,2015-12-01,7783,10.0
198,2022-08-01,70116,9.0
199,2016-01-01,8507,5.0
200,2022-08-01,70116,9.0
201,2016-02-01,8935,5.0
202,2022-08-01,70116,9.0
203,2016-03-01,9409,5260.0
204,2022-08-01,70118,9.0
205,2016-04-01,9431,2006.0
206,2022-08-01,70197,9.0
207,2016-05-01,10024,28.0
208,2022-08-01,70203,9.0
209,2016-06-01,10562,4.0
210,2022-08-01,70203,9.0
211,2016-07-01,13859,1.0
212,2022-08-01,70203,9.0
213,2016-08-01,15388,6.0
214,2022-08-01,70244,9.0
215,2016-09-01,16955,7.0
216,2022-08-01,70244,9.0
217,2016-10-01,17740,3.0
218,2022-08-01,70244,9.0
219,2016-11-01,17964,
220,2022-08-01,70247,9.0
221,2016-12-01,18688,
222,2022-08-01,70247,9.0
223,2017-01-01,20397,
224,2022-08-01,70248,9.0
225,2017-02-01,20419,1.0
226,2022-08-01,70248,9.0
227,2017-03-01,20695,
228,2022-08-01,70248,9.0
229,2017-04-01,22269,1.0
230,2022-08-01,70248,9.0
231,2017-05-01,22479,6.0
232,2022-08-01,70248,9.0
233,2017-06-01,25716,12.0
234,2022-08-01,70248,9.0
235,2017-07-01,26402,9.0
236,2022-08-01,70247,9.0
237,2017-08-01,26796,126.0
238,2022-08-01,70247,9.0
239,2017-09-01,26880,14.0
240,2022-09-01,70247,5.0
241,2017-10-01,27357,113.0
242,2022-09-01,70247,5.0
243,2017-11-01,30722,328.0
244,2022-09-01,70247,5.0
245,2017-12-01,34588,10.0
246,2022-09-01,70249,5.0
247,2018-01-01,40252,95.0
248,2022-09-01,70266,5.0
249,2018-02-01,42051,35.0
250,2022-09-01,70266,5.0
251,2018-03-01,42148,7.0
252,2022-09-01,70266,5.0
253,2018-04-01,43116,25.0
254,2022-09-01,70266,5.0
255,2018-05-01,43561,77.0
256,2022-09-01,70273,5.0
257,2018-06-01,44168,6.0
258,2022-09-01,70275,5.0
259,2018-07-01,44695,13.0
260,2022-09-01,70276,5.0
261,2018-08-01,44791,5.0
262,2022-09-01,70276,5.0
263,2018-09-01,45427,11.0
264,2022-09-01,70339,5.0
265,2018-10-01,45660,
266,2022-09-01,70339,5.0
267,2018-11-01,46059,2.0
268,2022-09-01,70338,5.0
269,2018-12-01,46856,70.0
270,2022-09-01,70337,5.0
271,2019-01-01,48358,128.0
272,2022-09-01,70337,5.0
273,2019-02-01,48538,35.0
274,2022-09-01,70337,5.0
275,2019-03-01,48556,1.0
276,2022-09-01,70337,5.0
277,2019-04-01,48860,4.0
278,2022-09-01,70337,5.0
279,2019-05-01,48922,
280,2022-09-01,70342,5.0
281,2019-06-01,48953,2.0
282,2022-09-01,70342,5.0
283,2019-07-01,49149,24.0
284,2022-09-01,70533,5.0
285,2019-08-01,49272,21.0
286,2022-09-01,70844,5.0
287,2019-09-01,49579,10.0
288,2022-10-01,70844,224.0
289,2019-10-01,50419,29.0
290,2022-10-01,70956,224.0
291,2019-11-01,53217,44.0
292,2022-10-01,71126,224.0
293,2019-12-01,58911,6.0
294,2022-10-01,71126,224.0
295,2020-01-01,60826,2.0
296,2022-10-01,71126,224.0
297,2020-02-01,61206,10.0
298,2022-10-01,71145,224.0
299,2020-03-01,61224,
300,2022-10-01,71145,224.0
301,2020-04-01,61239,
302,2022-10-01,71145,224.0
303,2020-05-01,62046,3.0
304,2022-10-01,71146,224.0
305,2020-06-01,62168,215.0
306,2022-10-01,71145,224.0
307,2020-07-01,63116,33.0
308,2022-10-01,71146,224.0
309,2020-08-01,63125,
310,2022-10-01,71154,224.0
311,2020-09-01,63137,3.0
312,2022-10-01,71155,224.0
313,2020-10-01,63222,3.0
314,2022-10-01,71155,224.0
315,2020-11-01,63642,5.0
316,2022-10-01,71232,224.0
317,2020-12-01,65070,66.0
318,2022-10-01,71275,224.0
319,2021-01-01,65276,338.0
320,2022-10-01,71370,224.0
321,2021-02-01,65656,168.0
322,2022-10-01,71370,224.0
323,2021-03-01,65726,17.0
324,2022-10-01,71463,224.0
325,2021-04-01,66052,60.0
326,2022-10-01,71559,224.0
327,2021-05-01,66160,11.0
328,2022-10-01,71628,224.0
329,2021-06-01,66213,
330,2022-10-01,71722,224.0
331,2021-07-01,66262,1.0
332,2022-10-01,71722,224.0
333,2021-08-01,66415,
334,2022-10-01,71728,224.0
335,2021-09-01,66445,
336,2022-10-01,71903,224.0
337,2021-10-01,67289,113.0
338,2022-11-01,72098,50.0
339,2021-11-01,67585,77.0
340,2022-11-01,72190,50.0
341,2021-12-01,67694,12.0
342,2022-11-01,72195,50.0
343,2022-01-01,67828,50.0
344,2022-11-01,72195,50.0
345,2022-02-01,68272,26.0
346,2022-11-01,72501,50.0
347,2022-03-01,69085,42.0
348,2022-04-01,69126,6.0
349,2022-05-01,69139,10.0
350,2022-06-01,69501,2.0
351,2022-07-01,70086,28.0
352,2022-08-01,70248,9.0
353,2022-09-01,70844,5.0
354,2022-10-01,71903,224.0
355,2022-11-01,73949,50.0
356,2022-12-01,74136,14.0
357,2023-01-01,74834,51.0
358,2023-02-01,552886,490692.0
359,2023-03-01,75064,1.0
360,2023-04-01,75468,21.0
361,2023-05-01,77766,26.0
362,2023-06-01,78028,21.0
363,2022-11-01,73761,50.0
364,2023-07-01,79009,83.0
365,2022-11-01,73763,50.0
366,2023-08-01,79740,14.0
367,2022-11-01,73887,50.0
368,2023-09-01,79804,2.0
369,2022-12-01,73949,14.0
370,2023-10-01,80618,8.0
371,2022-12-01,74113,14.0
372,2023-11-01,84721,93.0
373,2022-12-01,74115,14.0
374,2023-12-01,85511,44.0
375,2022-12-01,74122,14.0
376,2024-01-01,85784,16.0
377,2022-12-01,74122,14.0
378,2024-02-01,86208,4.0
379,2022-12-01,74122,14.0
380,2024-03-01,87136,284.0
381,2022-12-01,74122,14.0
382,2024-04-01,89135,206.0
383,2022-12-01,74122,14.0
384,2024-05-01,89339,
385,2022-12-01,74122,14.0
386,2024-06-01,89361,4.0
387,2022-12-01,74122,14.0
388,2024-07-01,89681,
389,2022-12-01,74124,14.0
390,2024-08-01,90020,
391,2022-12-01,74124,14.0
392,2024-09-01,90255,
393,2022-12-01,74130,14.0
394,2024-10-01,90832,
395,2022-12-01,74131,14.0
396,2024-11-01,91716,
397,2022-12-01,74132,14.0
398,2024-12-01,91807,
399,2022-12-01,74132,14.0
400,2025-01-01,91807,
