,valid_from,changeset_id,tags_before,changeset_tags
0,2012-04-21 12:34:31+02:00,11372260,"{'source': 'PGS', 'created_by': 'almien_coastlines'}","{'created_by': 'JOSM/1.5 (5177 en_GB)', 'comment': 'retrace non-CT agreed coastline way'}"
1,2017-08-24 22:30:23+02:00,51418275,"{'source': 'PGS', 'created_by': 'almien_coastlines'}","{'created_by': 'JOSM/1.5 (12545 en)', 'source': 'Bing', 'comment': 'Moroccan Sahara, improve coastline around El Marsa'}"
2,2017-08-24 22:30:23+02:00,51418275,"{'source': 'PGS', 'created_by': 'almien_coastlines'}","{'created_by': 'JOSM/1.5 (12545 en)', 'source': 'Bing', 'comment': 'Moroccan Sahara, improve coastline around El Marsa'}"
3,2017-08-24 22:30:23+02:00,51418275,"{'source': 'PGS', 'created_by': 'almien_coastlines'}","{'created_by': 'JOSM/1.5 (12545 en)', 'source': 'Bing', 'comment': 'Moroccan Sahara, improve coastline around El Marsa'}"
4,2017-08-24 22:30:23+02:00,51418275,"{'source': 'PGS', 'created_by': 'almien_coastlines'}","{'created_by': 'JOSM/1.5 (12545 en)', 'source': 'Bing', 'comment': 'Moroccan Sahara, improve coastline around El Marsa'}"
5,2017-08-24 22:30:23+02:00,51418275,"{'source': 'PGS', 'created_by': 'almien_coastlines'}","{'created_by': 'JOSM/1.5 (12545 en)', 'source': 'Bing', 'comment': 'Moroccan Sahara, improve coastline around El Marsa'}"
6,2017-08-24 22:30:24+02:00,51418275,"{'source': 'PGS', 'created_by': 'almien_coastlines'}","{'created_by': 'JOSM/1.5 (12545 en)', 'source': 'Bing', 'comment': 'Moroccan Sahara, improve coastline around El Marsa'}"
7,2017-08-24 22:30:24+02:00,51418275,"{'source': 'PGS', 'created_by': 'almien_coastlines'}","{'created_by': 'JOSM/1.5 (12545 en)', 'source': 'Bing', 'comment': 'Moroccan Sahara, improve coastline around El Marsa'}"
8,2017-08-24 22:30:24+02:00,51418275,"{'source': 'PGS', 'created_by': 'almien_coastlines'}","{'created_by': 'JOSM/1.5 (12545 en)', 'source': 'Bing', 'comment': 'Moroccan Sahara, improve coastline around El Marsa'}"
9,2017-08-24 22:30:24+02:00,51418275,"{'source': 'PGS', 'created_by': 'almien_coastlines'}","{'created_by': 'JOSM/1.5 (12545 en)', 'source': 'Bing', 'comment': 'Moroccan Sahara, improve coastline around El Marsa'}"
10,2017-08-24 22:30:24+02:00,51418275,"{'source': 'PGS', 'created_by': 'almien_coastlines'}","{'created_by': 'JOSM/1.5 (12545 en)', 'source': 'Bing', 'comment': 'Moroccan Sahara, improve coastline around El Marsa'}"
11,2017-08-24 22:30:24+02:00,51418275,"{'source': 'PGS', 'created_by': 'almien_coastlines'}","{'created_by': 'JOSM/1.5 (12545 en)', 'source': 'Bing', 'comment': 'Moroccan Sahara, improve coastline around El Marsa'}"
12,2017-08-24 22:30:25+02:00,51418275,"{'source': 'PGS', 'created_by': 'almien_coastlines'}","{'created_by': 'JOSM/1.5 (12545 en)', 'source': 'Bing', 'comment': 'Moroccan Sahara, improve coastline around El Marsa'}"
13,2017-08-24 22:30:25+02:00,51418275,"{'source': 'PGS', 'created_by': 'almien_coastlines'}","{'created_by': 'JOSM/1.5 (12545 en)', 'source': 'Bing', 'comment': 'Moroccan Sahara, improve coastline around El Marsa'}"
14,2012-01-21 02:45:05+01:00,10452261,"{'source': 'PGS', 'created_by': 'almien_coastlines'}","{'created_by': 'JOSM/1.5 (4667 en_GB)', 'comment': 'fix minor coastline artifacts'}"
