,Unnamed: 0,valid_from,changeset_id,tags_before,changeset_tags,comments
654,7,2008-05-21 18:43:26+00:00,493326,"{'created_by': 'Merkaartor 0.11', 'oneway': 'yes', 'junction': 'roundabout'}",{},
231,0,2008-11-13 22:50:18+00:00,743557,"{'highway': 'footway', 'name': 'weg 1', 'surface': 'unpaved', 'created_by': 'RambaZamba', 'layer': '0', 'width': '1'}",{},
647,0,2009-05-30 15:49:55+00:00,1359741,"{'name': 'Bois de Penchard', 'natural': 'wood'}","{'created_by': 'JOSM/1.5 (1627 en)', 'comment': 'delete broken duplicates of Bois de Penchard'}",delete broken duplicates of Bois de Penchard
650,3,2009-07-31 21:28:07+00:00,1998336,{'name': '1B'},"{'created_by': 'JOSM/1.5 (1788 en)', 'comment': 'deleted bad data uploaded 2009-03-25: http://www.openstreetmap.org/browse/changeset/858050'}",deleted bad data uploaded 2009-03-25: http://www.openstreetmap.org/browse/changeset/858050
649,2,2010-01-04 14:27:12+00:00,3537529,"{'highway': 'Residential', 'name': 'Pje Riquelme'}","{'created_by': 'JOSM/1.5 (2739 SVN de)', 'comment': 'remove stray ways'}",remove stray ways
652,5,2010-01-05 05:50:59+00:00,3542986,"{'highway': 'unclassified', 'name': 'Jotabeche'}","{'created_by': 'JOSM/1.5 (2690 es)', 'comment': 'Adding missing links of Santiago city from my own gis data'}",Adding missing links of Santiago city from my own gis data
651,4,2010-03-14 19:15:53+00:00,4128503,{'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010'},"{'created_by': 'JOSM/1.5 (3094 de)', 'comment': 'Korrekturen'}",Korrekturen
648,1,2011-07-01 22:12:14+00:00,8603687,"{'highway': 'unclassified', 'name': 'Commercial Drive'}","{'created_by': 'Merkaartor 0.16 (en)', 'comment': 'BBOX:144.54,-38.52,145.49,-37.52 ADD:0 UPD:0 DEL:1'}","BBOX:144.54,-38.52,145.49,-37.52 ADD:0 UPD:0 DEL:1"
346,114,2012-08-24 04:23:15+00:00,12840498,{'hires': 'yes'},"{'created_by': 'Potlatch 2', 'version': '2.3', 'comment': 'fix highway=road', 'build': '2.3-443-g151b833'}",fix highway=road
643,1,2013-07-28 08:16:07+00:00,17122010,"{'name': 'الجدار المغربي  (Moroccan Wall)', 'name:en': 'Moroccan Wall', 'boundary': 'administrative', 'description': 'de-facto boundary between Morocco and Sahrawi Arab Democratic Republic', 'admin_level': '2', 'wikipedia': 'en:Moroccan Wall', 'name:ru': 'Марокканская стена', 'name:ar': 'الجدار المغربي', 'border_type': 'nation'}","{'created_by': 'JOSM/1.5 (6090 fr)', 'comment': ""décroisement des frontières côtières des Bouches-du-Rhône autour d'Arles""}",décroisement des frontières côtières des Bouches-du-Rhône autour d'Arles
47,41,2013-12-13 11:56:10+00:00,19430884,{'barrier': 'embankment'},"{'version': '2.3', 'build': '2.3-605-gbec0ea7', 'created_by': 'Potlatch 2'}",
50,44,2013-12-13 11:35:51+00:00,19430884,{'barrier': 'embankment'},"{'version': '2.3', 'build': '2.3-605-gbec0ea7', 'created_by': 'Potlatch 2'}",
130,124,2013-12-13 11:51:13+00:00,19430884,{'barrier': 'embankment'},"{'version': '2.3', 'build': '2.3-605-gbec0ea7', 'created_by': 'Potlatch 2'}",
115,109,2013-12-13 11:51:13+00:00,19430884,{'barrier': 'embankment'},"{'version': '2.3', 'build': '2.3-605-gbec0ea7', 'created_by': 'Potlatch 2'}",
129,123,2013-12-13 13:21:57+00:00,19431788,{'barrier': 'embankment'},"{'version': '2.3', 'build': '2.3-605-gbec0ea7', 'created_by': 'Potlatch 2'}",
644,2,2013-12-21 18:09:18+00:00,19570599,"{'name': 'الجدار المغربي  (Moroccan Wall)', 'name:en': 'Moroccan Wall', 'boundary': 'administrative', 'description': 'de-facto boundary', 'admin_level': '2', 'wikipedia': 'en:Moroccan Wall', 'name:ru': 'Марокканская стена', 'name:ar': 'الجدار المغربي', 'border_type': 'nation'}","{'created_by': 'JOSM/1.5 (6502 fr)', 'comment': 'restore unclosed Eastern boundary of Algeria'}",restore unclosed Eastern boundary of Algeria
584,352,2013-12-30 15:41:32+00:00,19716385,"{'boundary': 'administrative', 'admin_level': '4'}","{'created_by': 'JOSM/1.5 (6542 fr)', 'comment': 'improve precision; it remains still lots to work along the wall to locate its exact positions'}",improve precision; it remains still lots to work along the wall to locate its exact positions
363,131,2014-01-20 21:40:36+00:00,20112664,"{'boundary': 'administrative', 'description': 'de-facto boundary between Morocco and Sahrawi Arab Democratic Republic', 'admin_level': '2', 'wikipedia': 'en:Moroccan Wall', 'border_type': 'nation', 'left:country': 'Sahrawi Arab Democratic Republic', 'right:country': 'Morocco'}","{'created_by': 'Potlatch 2', 'version': '2.3', 'comment': 'border', 'build': '2.3-605-gbec0ea7'}",border
641,5,2014-03-24 17:52:10+00:00,21289832,{'note': 'end good satellite image'},"{'created_by': 'JOSM/1.5 (6891 fr)', 'comment': 'Deduplicate Moroccan Wall'}",Deduplicate Moroccan Wall
639,3,2014-03-24 17:52:10+00:00,21289832,{'note': 'end good satellite image'},"{'created_by': 'JOSM/1.5 (6891 fr)', 'comment': 'Deduplicate Moroccan Wall'}",Deduplicate Moroccan Wall
638,2,2014-03-24 17:52:13+00:00,21289832,{'note': 'end good satellite image'},"{'created_by': 'JOSM/1.5 (6891 fr)', 'comment': 'Deduplicate Moroccan Wall'}",Deduplicate Moroccan Wall
110,104,2014-04-04 18:23:24+00:00,21500907,"{'name': 'Berm', 'barrier': 'wall', 'name:en': 'Moroccan Wall', 'description': 'mur', 'wikipedia': 'en:Moroccan Wall', 'name:ru': 'Марокканская стена', 'name:ar': 'الجدار المغربي', 'name:fr': 'Mur marocain', 'FIXME': 'lack of precision of wall limit'}","{'imagery_used': 'Bing', 'created_by': 'iD 1.3.8'}",
646,4,2014-04-16 11:57:03+00:00,21728394,{'natural': 'desert'},"{'source': 'OpenStreetMap (Mapnik); Bing; Cadastre; Sandre', 'comment': 'fix non perfectly aligned arbitrary cut lines  in desert so the polygons are joining; continue the wall', 'created_by': 'JOSM/1.5 (6987 fr)'}",fix non perfectly aligned arbitrary cut lines  in desert so the polygons are joining; continue the wall
347,115,2014-04-16 11:57:01+00:00,21728394,{'natural': 'desert'},"{'source': 'OpenStreetMap (Mapnik); Bing; Cadastre; Sandre', 'comment': 'fix non perfectly aligned arbitrary cut lines  in desert so the polygons are joining; continue the wall', 'created_by': 'JOSM/1.5 (6987 fr)'}",fix non perfectly aligned arbitrary cut lines  in desert so the polygons are joining; continue the wall
324,92,2014-04-16 11:57:02+00:00,21728394,{'natural': 'desert'},"{'source': 'OpenStreetMap (Mapnik); Bing; Cadastre; Sandre', 'comment': 'fix non perfectly aligned arbitrary cut lines  in desert so the polygons are joining; continue the wall', 'created_by': 'JOSM/1.5 (6987 fr)'}",fix non perfectly aligned arbitrary cut lines  in desert so the polygons are joining; continue the wall
109,103,2014-04-16 11:57:03+00:00,21728394,{'natural': 'desert'},"{'source': 'OpenStreetMap (Mapnik); Bing; Cadastre; Sandre', 'comment': 'fix non perfectly aligned arbitrary cut lines  in desert so the polygons are joining; continue the wall', 'created_by': 'JOSM/1.5 (6987 fr)'}",fix non perfectly aligned arbitrary cut lines  in desert so the polygons are joining; continue the wall
560,328,2014-04-16 11:57:01+00:00,21728394,{'natural': 'desert'},"{'source': 'OpenStreetMap (Mapnik); Bing; Cadastre; Sandre', 'comment': 'fix non perfectly aligned arbitrary cut lines  in desert so the polygons are joining; continue the wall', 'created_by': 'JOSM/1.5 (6987 fr)'}",fix non perfectly aligned arbitrary cut lines  in desert so the polygons are joining; continue the wall
467,235,2014-04-16 11:57:03+00:00,21728394,{'natural': 'desert'},"{'source': 'OpenStreetMap (Mapnik); Bing; Cadastre; Sandre', 'comment': 'fix non perfectly aligned arbitrary cut lines  in desert so the polygons are joining; continue the wall', 'created_by': 'JOSM/1.5 (6987 fr)'}",fix non perfectly aligned arbitrary cut lines  in desert so the polygons are joining; continue the wall
458,226,2014-04-23 13:23:08+00:00,21886167,"{'name': 'Berm', 'barrier': 'wall', 'name:en': 'Moroccan Wall', 'alt_name': 'Moroccan Wall', 'wikipedia': 'en:Moroccan Wall', 'name:ru': 'Марокканская стена', 'name:ar': 'الجدار المغربي', 'name:fr': 'Mur marocain'}","{'created_by': 'JOSM/1.5 (6950 fr)', 'source': 'knowledge'}",
469,237,2014-04-23 13:23:08+00:00,21886167,"{'name': 'Berm', 'barrier': 'wall', 'name:en': 'Moroccan Wall', 'alt_name': 'Moroccan Wall', 'wikipedia': 'en:Moroccan Wall', 'name:ru': 'Марокканская стена', 'name:ar': 'الجدار المغربي', 'name:fr': 'Mur marocain'}","{'created_by': 'JOSM/1.5 (6950 fr)', 'source': 'knowledge'}",
505,273,2014-04-23 13:23:08+00:00,21886167,"{'name': 'Berm', 'barrier': 'wall', 'name:en': 'Moroccan Wall', 'description': 'mur', 'alt_name': 'Moroccan Wall', 'wikipedia': 'en:Moroccan Wall', 'name:ru': 'Марокканская стена', 'name:ar': 'الجدار المغربي', 'name:fr': 'Mur marocain'}","{'created_by': 'JOSM/1.5 (6950 fr)', 'source': 'knowledge'}",
468,236,2014-04-23 13:23:08+00:00,21886167,"{'name': 'Berm', 'barrier': 'wall', 'name:en': 'Moroccan Wall', 'alt_name': 'Moroccan Wall', 'wikipedia': 'en:Moroccan Wall', 'name:ru': 'Марокканская стена', 'name:ar': 'الجدار المغربي', 'name:fr': 'Mur marocain'}","{'created_by': 'JOSM/1.5 (6950 fr)', 'source': 'knowledge'}",
436,204,2014-04-23 13:23:08+00:00,21886167,"{'name': 'Berm', 'barrier': 'wall', 'name:en': 'Moroccan Wall', 'alt_name': 'Moroccan Wall', 'wikipedia': 'en:Moroccan Wall', 'name:ru': 'Марокканская стена', 'name:ar': 'الجدار المغربي', 'name:fr': 'Mur marocain'}","{'created_by': 'JOSM/1.5 (6950 fr)', 'source': 'knowledge'}",
552,320,2014-04-27 20:10:11+00:00,21986544,{'note': 'barrier=wall estimated from bad satellite image'},"{'source': 'Bing', 'comment': 'added missing attributes', 'created_by': 'JOSM/1.5 (6502 de)'}",added missing attributes
308,76,2014-04-27 20:10:11+00:00,21986544,{'note': 'barrier=wall estimated from bad satellite image'},"{'source': 'Bing', 'comment': 'added missing attributes', 'created_by': 'JOSM/1.5 (6502 de)'}",added missing attributes
407,175,2014-04-28 09:22:01+00:00,21997011,"{'name': 'Berm', 'barrier': 'wall', 'name:en': 'Moroccan Wall', 'description': 'mur', 'alt_name': 'Moroccan Wall', 'wikipedia': 'en:Moroccan Wall', 'name:ru': 'Марокканская стена', 'name:ar': 'الجدار المغربي', 'name:fr': 'Mur marocain'}","{'source': 'knowledge', 'comment': 'Modification Mur Marocain', 'created_by': 'JOSM/1.5 (6950 fr)'}",Modification Mur Marocain
564,332,2014-05-20 21:13:16+00:00,22454725,{'barrier': 'wall'},"{'created_by': 'JOSM/1.5 (7000 de)', 'comment': 'better allignement boundary Sahrawi Arab Democratic Republic'}",better allignement boundary Sahrawi Arab Democratic Republic
565,333,2014-05-20 21:13:17+00:00,22454725,{'barrier': 'embankment'},"{'created_by': 'JOSM/1.5 (7000 de)', 'comment': 'better allignement boundary Sahrawi Arab Democratic Republic'}",better allignement boundary Sahrawi Arab Democratic Republic
563,331,2014-05-20 21:13:15+00:00,22454725,{'barrier': 'embankment'},"{'created_by': 'JOSM/1.5 (7000 de)', 'comment': 'better allignement boundary Sahrawi Arab Democratic Republic'}",better allignement boundary Sahrawi Arab Democratic Republic
514,282,2014-05-20 21:13:15+00:00,22454725,{'barrier': 'embankment'},"{'created_by': 'JOSM/1.5 (7000 de)', 'comment': 'better allignement boundary Sahrawi Arab Democratic Republic'}",better allignement boundary Sahrawi Arab Democratic Republic
322,90,2014-05-20 21:13:17+00:00,22454725,{'barrier': 'embankment'},"{'created_by': 'JOSM/1.5 (7000 de)', 'comment': 'better allignement boundary Sahrawi Arab Democratic Republic'}",better allignement boundary Sahrawi Arab Democratic Republic
491,259,2014-05-20 21:13:19+00:00,22454725,{'barrier': 'embankment'},"{'created_by': 'JOSM/1.5 (7000 de)', 'comment': 'better allignement boundary Sahrawi Arab Democratic Republic'}",better allignement boundary Sahrawi Arab Democratic Republic
463,231,2014-05-20 21:13:17+00:00,22454725,{'barrier': 'embankment'},"{'created_by': 'JOSM/1.5 (7000 de)', 'comment': 'better allignement boundary Sahrawi Arab Democratic Republic'}",better allignement boundary Sahrawi Arab Democratic Republic
462,230,2014-05-20 21:13:16+00:00,22454725,{'barrier': 'embankment'},"{'created_by': 'JOSM/1.5 (7000 de)', 'comment': 'better allignement boundary Sahrawi Arab Democratic Republic'}",better allignement boundary Sahrawi Arab Democratic Republic
318,86,2014-05-20 21:13:15+00:00,22454725,{'barrier': 'embankment'},"{'created_by': 'JOSM/1.5 (7000 de)', 'comment': 'better allignement boundary Sahrawi Arab Democratic Republic'}",better allignement boundary Sahrawi Arab Democratic Republic
261,29,2014-05-20 21:13:15+00:00,22454725,{'barrier': 'embankment'},"{'created_by': 'JOSM/1.5 (7000 de)', 'comment': 'better allignement boundary Sahrawi Arab Democratic Republic'}",better allignement boundary Sahrawi Arab Democratic Republic
260,28,2014-05-20 21:13:14+00:00,22454725,{'barrier': 'embankment'},"{'created_by': 'JOSM/1.5 (7000 de)', 'comment': 'better allignement boundary Sahrawi Arab Democratic Republic'}",better allignement boundary Sahrawi Arab Democratic Republic
317,85,2014-05-20 21:13:15+00:00,22454725,{'barrier': 'embankment'},"{'created_by': 'JOSM/1.5 (7000 de)', 'comment': 'better allignement boundary Sahrawi Arab Democratic Republic'}",better allignement boundary Sahrawi Arab Democratic Republic
516,284,2014-05-20 21:13:17+00:00,22454725,{'barrier': 'embankment'},"{'created_by': 'JOSM/1.5 (7000 de)', 'comment': 'better allignement boundary Sahrawi Arab Democratic Republic'}",better allignement boundary Sahrawi Arab Democratic Republic
513,281,2014-05-20 21:13:15+00:00,22454725,{'barrier': 'embankment'},"{'created_by': 'JOSM/1.5 (7000 de)', 'comment': 'better allignement boundary Sahrawi Arab Democratic Republic'}",better allignement boundary Sahrawi Arab Democratic Republic
544,312,2014-05-20 21:13:19+00:00,22454725,{'barrier': 'embankment'},"{'created_by': 'JOSM/1.5 (7000 de)', 'comment': 'better allignement boundary Sahrawi Arab Democratic Republic'}",better allignement boundary Sahrawi Arab Democratic Republic
569,337,2014-05-20 21:13:19+00:00,22454725,{'barrier': 'embankment'},"{'created_by': 'JOSM/1.5 (7000 de)', 'comment': 'better allignement boundary Sahrawi Arab Democratic Republic'}",better allignement boundary Sahrawi Arab Democratic Republic
490,258,2014-05-20 21:13:18+00:00,22454725,{'barrier': 'embankment'},"{'created_by': 'JOSM/1.5 (7000 de)', 'comment': 'better allignement boundary Sahrawi Arab Democratic Republic'}",better allignement boundary Sahrawi Arab Democratic Republic
