,timestamp,Sichtbar,Gelöscht
0,2007-10-01,13921,47.0
1,2007-11-01,13874,57.0
2,2007-12-01,13825,14.0
3,2008-01-01,14185,
4,2008-02-01,14278,
5,2008-03-01,14278,
6,2008-04-01,14278,70.0
7,2008-05-01,14237,29.0
8,2008-06-01,14208,
9,2008-07-01,14208,
10,2008-08-01,14208,20.0
11,2008-09-01,14193,
12,2008-10-01,14193,
13,2008-11-01,14193,1.0
14,2008-12-01,14193,
15,2009-01-01,14193,36.0
16,2009-02-01,14167,2.0
17,2009-03-01,14174,
18,2009-04-01,14175,
19,2009-05-01,14192,264.0
20,2009-06-01,13934,
21,2009-07-01,13937,6.0
22,2009-08-01,13931,25.0
23,2009-09-01,13907,
24,2009-10-01,13908,
25,2009-11-01,13909,1.0
26,2009-12-01,13909,352.0
27,2010-01-01,13558,2.0
28,2010-02-01,13557,
29,2010-03-01,13558,21.0
30,2010-04-01,13557,12.0
31,2010-05-01,13572,20.0
32,2010-06-01,13572,
33,2010-07-01,13574,1.0
34,2010-08-01,13575,
35,2010-09-01,13575,
36,2010-10-01,13575,
37,2010-11-01,13575,6.0
38,2010-12-01,13812,505.0
39,2011-01-01,13329,
40,2011-02-01,13401,2.0
41,2011-03-01,13424,2.0
42,2011-04-01,13429,19.0
43,2011-05-01,13421,
44,2011-06-01,13456,9.0
45,2011-07-01,13636,19.0
46,2011-08-01,13683,
47,2011-09-01,13683,1.0
48,2011-10-01,13683,
49,2011-11-01,13738,1.0
50,2011-12-01,13739,
51,2012-01-01,13819,1302.0
52,2012-02-01,12525,
53,2012-03-01,12530,1.0
54,2012-04-01,12530,18.0
55,2012-05-01,12525,7.0
56,2012-06-01,12557,2.0
57,2012-07-01,12593,474.0
58,2012-08-01,13374,24.0
59,2012-09-01,14428,102.0
60,2012-10-01,14485,8.0
61,2012-11-01,14495,1.0
62,2012-12-01,15069,10.0
63,2013-01-01,16497,12.0
64,2013-02-01,16567,7.0
65,2013-03-01,17162,7.0
66,2013-04-01,17309,
67,2013-05-01,17444,
68,2013-06-01,17585,2.0
69,2013-07-01,17602,2.0
70,2013-08-01,18057,11.0
71,2013-09-01,18238,1.0
72,2013-10-01,18413,3.0
73,2013-11-01,18447,9.0
74,2013-12-01,19524,181.0
75,2014-01-01,19533,13.0
76,2014-02-01,19378,4.0
77,2014-03-01,20495,8.0
78,2014-04-01,21083,92.0
79,2014-05-01,21133,1150.0
80,2014-06-01,20096,8.0
81,2014-07-01,20096,8.0
82,2014-08-01,20102,195.0
83,2014-09-01,20102,
84,2014-10-01,20137,1.0
85,2014-11-01,20680,746.0
86,2014-12-01,21247,20.0
87,2015-01-01,21302,42.0
88,2015-02-01,21352,5.0
89,2015-03-01,21367,
90,2015-04-01,21458,73.0
91,2015-05-01,21461,491.0
92,2015-06-01,21179,36.0
93,2015-07-01,21290,16.0
94,2015-08-01,21343,184.0
95,2015-09-01,21414,
96,2015-10-01,21600,19.0
97,2015-11-01,21914,64.0
98,2015-12-01,21976,7.0
99,2016-01-01,22217,15.0
100,2016-02-01,22223,17.0
101,2016-03-01,23202,143.0
102,2016-04-01,23375,557.0
103,2016-05-01,24555,2.0
104,2016-06-01,25542,101.0
105,2016-07-01,27023,1.0
106,2016-08-01,27362,7.0
107,2016-09-01,27531,25.0
108,2016-10-01,27674,4.0
109,2016-11-01,27773,12.0
110,2016-12-01,27865,7.0
111,2017-01-01,28000,6.0
112,2017-02-01,28421,11.0
113,2017-03-01,28968,58.0
114,2017-04-01,29500,8.0
115,2017-05-01,30032,
116,2017-06-01,30103,4.0
117,2017-07-01,30358,8.0
118,2017-08-01,30423,244.0
119,2017-09-01,30189,863.0
120,2017-10-01,30882,846.0
121,2017-11-01,34481,909.0
122,2017-12-01,34802,14.0
123,2018-01-01,35704,37.0
124,2018-02-01,35934,20.0
125,2018-03-01,36399,4.0
126,2018-04-01,37644,84.0
127,2018-05-01,37758,6.0
128,2018-06-01,38135,11.0
129,2018-07-01,39121,3.0
130,2018-08-01,39155,4.0
131,2018-09-01,39316,5.0
132,2018-10-01,39385,61.0
133,2018-11-01,39597,32.0
134,2018-12-01,39917,13.0
135,2019-01-01,40187,7.0
136,2019-02-01,40233,1.0
137,2019-03-01,40271,9.0
138,2019-04-01,40283,5.0
139,2019-05-01,40434,1.0
140,2019-06-01,40525,
141,2019-07-01,41193,18.0
142,2019-08-01,41272,4.0
143,2019-09-01,41938,17.0
144,2019-10-01,42765,30.0
145,2019-11-01,43710,8.0
146,2019-12-01,43757,
147,2020-01-01,43924,7.0
148,2020-02-01,43964,15.0
149,2020-03-01,44016,
150,2020-04-01,44112,2.0
151,2020-05-01,44367,
152,2020-06-01,44390,6.0
153,2020-07-01,44548,1.0
154,2020-08-01,44741,5.0
155,2020-09-01,45650,2.0
156,2020-10-01,45745,1.0
157,2020-11-01,45938,1.0
158,2020-12-01,46174,2.0
159,2021-01-01,46395,8.0
160,2021-02-01,46542,3.0
161,2021-03-01,47276,7.0
162,2021-04-01,47295,1.0
163,2021-05-01,47582,4.0
164,2021-06-01,47594,5.0
165,2021-07-01,47796,2.0
166,2021-08-01,47810,1.0
167,2021-09-01,47873,
168,2021-10-01,47953,
169,2021-11-01,48232,14.0
170,2021-12-01,48376,1.0
171,2022-01-01,48551,9.0
172,2022-02-01,48706,46.0
173,2022-03-01,48880,54.0
174,2022-04-01,48908,24.0
175,2022-05-01,48963,
176,2022-06-01,49118,2.0
177,2022-07-01,49250,1.0
178,2022-08-01,49558,12.0
179,2022-09-01,49857,71.0
180,2022-10-01,49910,31.0
181,2022-11-01,50050,3.0
182,2022-12-01,50686,2.0
183,2023-01-01,50866,2.0
184,2023-02-01,50942,19.0
185,2023-03-01,51034,16.0
186,2023-04-01,51382,8.0
187,2023-05-01,51488,26.0
188,2023-06-01,51792,17.0
189,2023-07-01,53574,67.0
190,2023-08-01,53637,1.0
191,2023-09-01,53778,46.0
192,2023-10-01,53893,2.0
193,2023-11-01,54087,24.0
194,2023-12-01,54088,6.0
195,2024-01-01,54189,13.0
196,2024-02-01,54274,4.0
197,2024-03-01,76020,181.0
198,2024-04-01,83364,363.0
199,2024-05-01,83439,11.0
200,2024-06-01,83465,1.0
201,2024-07-01,83502,1.0
