,timestamp,Sichtbar,Gelöscht
0,2007-10-01,2121,203.0
1,2007-11-01,36707,37876.0
2,2007-12-01,28521,12791.0
3,2008-01-01,23608,2658.0
4,2008-02-01,21993,4363.0
5,2008-03-01,18282,2114.0
6,2008-04-01,17608,533.0
7,2008-05-01,17596,15.0
8,2008-06-01,17858,37.0
9,2008-07-01,17911,32.0
10,2008-08-01,18178,12.0
11,2008-09-01,18288,17.0
12,2008-10-01,18288,62.0
13,2008-11-01,18420,1.0
14,2008-12-01,18560,447.0
15,2009-01-01,18650,26.0
16,2009-02-01,18779,10.0
17,2009-03-01,19284,13.0
18,2009-04-01,19295,2.0
19,2009-05-01,19308,65.0
20,2009-06-01,20198,549.0
21,2009-07-01,20594,51.0
22,2009-08-01,20861,168.0
23,2009-09-01,20905,30.0
24,2009-10-01,21035,351.0
25,2009-11-01,20829,60.0
26,2009-12-01,20890,13.0
27,2010-01-01,20903,
28,2010-02-01,21044,17.0
29,2010-03-01,21171,13.0
30,2010-04-01,21226,68.0
31,2010-05-01,21296,13.0
32,2010-06-01,21433,15.0
33,2010-07-01,21704,37.0
34,2010-08-01,22562,43.0
35,2010-09-01,22608,21.0
36,2010-10-01,22618,18.0
37,2010-11-01,22798,3.0
38,2010-12-01,22816,
39,2011-01-01,23283,27.0
40,2011-02-01,23510,13.0
41,2011-03-01,23612,10.0
42,2011-04-01,23914,50.0
43,2011-05-01,24239,28.0
44,2011-06-01,24566,34.0
45,2011-07-01,24962,
46,2011-08-01,25148,10.0
47,2011-09-01,25185,3.0
48,2011-10-01,25207,12.0
49,2011-11-01,25207,1243.0
50,2011-12-01,24004,681.0
51,2012-01-01,23578,98.0
52,2012-02-01,23498,148.0
53,2012-03-01,23435,159.0
54,2012-04-01,23650,156.0
55,2012-05-01,23695,413.0
56,2012-06-01,23482,1264.0
57,2012-07-01,23078,11267.0
58,2012-08-01,13865,46.0
59,2012-09-01,14916,71.0
60,2012-10-01,15512,284.0
61,2012-11-01,15687,128.0
62,2012-12-01,15794,18.0
63,2013-01-01,15954,20.0
64,2013-02-01,16056,9.0
65,2013-03-01,16179,14.0
66,2013-04-01,16789,30.0
67,2013-05-01,16928,23.0
68,2013-06-01,17060,11.0
69,2013-07-01,17633,14.0
70,2013-08-01,18009,30.0
71,2013-09-01,18063,23.0
72,2013-10-01,18139,5.0
73,2013-11-01,18247,18.0
74,2013-12-01,18511,5.0
