,timestamp,Sichtbar,Gelöscht
0,2007-11-01,0,
1,2007-12-01,0,
2,2008-01-01,0,
3,2008-02-01,0,
4,2008-03-01,0,
5,2008-04-01,0,
6,2008-05-01,0,
7,2008-06-01,0,
8,2008-07-01,0,
9,2008-08-01,0,
10,2008-09-01,0,
11,2008-10-01,0,
12,2008-11-01,0,
13,2008-12-01,0,
14,2009-01-01,0,
15,2009-02-01,0,
16,2009-03-01,0,
17,2009-04-01,0,
18,2009-05-01,0,
19,2009-06-01,0,
20,2009-07-01,0,
21,2009-08-01,0,
22,2009-09-01,0,
23,2009-10-01,0,
24,2009-11-01,0,
25,2009-12-01,0,
26,2010-01-01,1,
27,2010-02-01,1,
28,2010-03-01,1,
29,2010-04-01,4,
30,2010-05-01,4,
31,2010-06-01,4,
32,2010-07-01,4,
33,2010-08-01,84,
34,2010-09-01,84,
35,2010-10-01,84,
36,2010-11-01,84,
37,2010-12-01,84,
38,2011-01-01,84,
39,2011-02-01,262,
40,2011-03-01,262,
41,2011-04-01,262,
42,2011-05-01,262,
43,2011-06-01,484,
44,2011-07-01,490,
45,2011-08-01,490,
46,2011-09-01,614,
47,2011-10-01,614,
48,2011-11-01,614,
49,2011-12-01,614,
50,2012-01-01,614,
51,2012-02-01,614,
52,2012-03-01,615,
53,2012-04-01,615,
54,2012-05-01,615,
55,2012-06-01,615,
56,2012-07-01,615,
57,2012-08-01,615,
58,2012-09-01,622,
59,2012-10-01,622,
60,2012-11-01,623,
61,2012-12-01,626,1.0
62,2013-01-01,627,
63,2013-02-01,630,
64,2013-03-01,662,
65,2013-04-01,663,
66,2013-05-01,663,
67,2013-06-01,663,
68,2013-07-01,1021,
69,2013-08-01,1021,
70,2013-09-01,1716,
71,2013-10-01,1716,
72,2013-11-01,1715,
73,2013-12-01,1717,1.0
74,2014-01-01,1761,
75,2014-02-01,1761,
76,2014-03-01,1761,
77,2014-04-01,1785,
78,2014-05-01,1785,
79,2014-06-01,1785,
80,2014-07-01,1785,
81,2014-08-01,1821,
82,2014-09-01,1820,
83,2014-10-01,1820,
84,2014-11-01,1823,
85,2014-12-01,1823,
86,2015-01-01,1835,
87,2015-02-01,1843,
88,2015-03-01,1842,
89,2015-04-01,1963,
90,2015-05-01,1967,
91,2015-06-01,1969,
92,2015-07-01,2198,
93,2015-08-01,2301,
94,2015-09-01,2311,9.0
95,2015-10-01,2368,
96,2015-11-01,2684,
97,2015-12-01,2727,
98,2016-01-01,2789,
99,2016-02-01,2788,2.0
100,2016-03-01,5892,
101,2016-04-01,5923,
102,2016-05-01,5925,
103,2016-06-01,5934,
104,2016-07-01,5934,
105,2016-08-01,5992,
106,2016-09-01,6043,
107,2016-10-01,6152,
108,2016-11-01,6152,
109,2016-12-01,6170,
110,2017-01-01,6211,
111,2017-02-01,8152,
112,2017-03-01,8169,
113,2017-04-01,8202,
114,2017-05-01,8221,
115,2017-06-01,8264,
116,2017-07-01,8312,
117,2017-08-01,8358,
118,2017-09-01,8359,
119,2017-10-01,8361,
120,2017-11-01,8366,
121,2017-12-01,8392,2.0
122,2018-01-01,8549,13.0
123,2018-02-01,8923,1.0
124,2018-03-01,8924,4.0
125,2018-04-01,8948,
126,2018-05-01,9017,
127,2018-06-01,9267,1.0
128,2018-07-01,9275,
129,2018-08-01,9285,
130,2018-09-01,9360,
131,2018-10-01,9380,
132,2018-11-01,9411,
133,2018-12-01,9472,3.0
134,2019-01-01,10108,1.0
135,2019-02-01,10127,
136,2019-03-01,10213,
137,2019-04-01,10311,1.0
138,2019-05-01,10406,
139,2019-06-01,10406,
140,2019-07-01,10545,
141,2019-08-01,10912,
142,2019-09-01,10995,
143,2019-10-01,11019,
144,2019-11-01,11259,
145,2019-12-01,11289,518.0
146,2020-01-01,47303,857.0
147,2020-02-01,111797,2723.0
148,2020-03-01,135161,
149,2020-04-01,135431,
150,2020-05-01,135451,12.0
151,2020-06-01,138800,24.0
152,2020-07-01,139477,
153,2020-08-01,139576,
154,2020-09-01,139605,
155,2020-10-01,139605,2.0
156,2020-11-01,139608,1.0
157,2020-12-01,139604,34.0
158,2021-01-01,140178,
159,2021-02-01,140201,1.0
160,2021-03-01,140275,
161,2021-04-01,140289,23.0
162,2021-05-01,140283,3.0
163,2021-06-01,140350,
164,2021-07-01,140357,
165,2021-08-01,141171,
166,2021-09-01,141171,
167,2021-10-01,141180,2.0
168,2021-11-01,141207,4.0
169,2021-12-01,141324,
170,2022-01-01,141350,2.0
171,2022-02-01,141548,85.0
172,2022-03-01,141516,
173,2022-04-01,141517,
174,2022-05-01,141541,1.0
175,2022-06-01,261229,113454.0
176,2022-07-01,141578,
177,2022-08-01,141588,
178,2022-09-01,141588,
179,2022-10-01,141589,2.0
180,2022-11-01,141600,
181,2022-12-01,141600,
182,2023-01-01,141600,32.0
183,2023-02-01,141607,
184,2023-03-01,141634,5.0
185,2023-04-01,141645,
186,2023-05-01,141725,
187,2023-06-01,142009,
188,2023-07-01,142032,
189,2023-08-01,142033,38.0
190,2023-09-01,142130,1.0
191,2023-10-01,142129,12.0
192,2023-11-01,142130,1.0
193,2023-12-01,142126,
194,2024-01-01,142171,
195,2024-02-01,142171,
196,2024-03-01,142663,9.0
197,2024-04-01,144154,7.0
198,2024-05-01,144974,1.0
199,2024-06-01,144974,
200,2024-07-01,144986,
201,2024-08-01,144993,
202,2024-09-01,145014,
203,2024-10-01,145006,
204,2024-11-01,145034,
205,2024-12-01,145040,
206,2025-01-01,145092,
207,2025-02-01,145136,
