,timestamp,Sichtbar,Gelöscht
0,2007-10-01,45,
1,2007-11-01,80,1.0
2,2007-12-01,100,
3,2008-01-01,131,
4,2008-02-01,145,1.0
5,2008-03-01,373,1.0
6,2008-04-01,398,1.0
7,2008-05-01,600,2.0
8,2008-06-01,681,3.0
9,2008-07-01,780,
10,2008-08-01,918,7.0
11,2008-09-01,996,7.0
12,2008-10-01,1067,16.0
13,2008-11-01,1157,32.0
14,2008-12-01,1208,2.0
15,2009-01-01,1271,1.0
16,2009-02-01,1309,5.0
17,2009-03-01,1350,26.0
18,2009-04-01,1469,7.0
19,2009-05-01,1531,6.0
20,2009-06-01,1602,19.0
21,2009-07-01,1696,1.0
22,2009-08-01,1813,3.0
23,2009-09-01,1913,1.0
24,2009-10-01,1981,5.0
25,2009-11-01,2040,22.0
26,2009-12-01,2109,4.0
27,2010-01-01,2148,3.0
28,2010-02-01,2381,9.0
29,2010-03-01,2531,13.0
30,2010-04-01,2750,57.0
31,2010-05-01,2860,6.0
32,2010-06-01,3336,27.0
33,2010-07-01,3717,59.0
34,2010-08-01,3856,54.0
35,2010-09-01,3916,1.0
36,2010-10-01,4030,6.0
37,2010-11-01,4108,
38,2010-12-01,4862,24.0
39,2011-01-01,5297,26.0
40,2011-02-01,5569,58.0
41,2011-03-01,6682,45.0
42,2011-04-01,8126,12.0
43,2011-05-01,8368,22.0
44,2011-06-01,9000,25.0
45,2011-07-01,9939,48.0
46,2011-08-01,10146,43.0
47,2011-09-01,10380,10.0
48,2011-10-01,10897,38.0
49,2011-11-01,11054,6.0
50,2011-12-01,11507,5.0
51,2012-01-01,11797,14.0
52,2012-02-01,12724,71.0
53,2012-03-01,13568,19.0
54,2012-04-01,14842,48.0
55,2012-05-01,15385,32.0
56,2012-06-01,16141,35.0
57,2012-07-01,16708,54.0
58,2012-08-01,17217,47.0
59,2012-09-01,18531,82.0
60,2012-10-01,19053,68.0
61,2012-11-01,19414,37.0
62,2012-12-01,19696,56.0
63,2013-01-01,19927,10.0
64,2013-02-01,20159,8.0
65,2013-03-01,20653,20.0
66,2013-04-01,20776,12.0
67,2013-05-01,21185,46.0
68,2013-06-01,21329,117.0
69,2013-07-01,21532,13.0
70,2013-08-01,22356,8.0
71,2013-09-01,22891,7.0
72,2013-10-01,23028,12.0
73,2013-11-01,23047,
74,2013-12-01,23082,8.0
75,2014-01-01,23087,212.0
76,2014-02-01,23248,14.0
77,2014-03-01,23700,22.0
78,2014-04-01,24217,7.0
79,2014-05-01,24314,6.0
80,2014-06-01,24393,84.0
81,2014-07-01,24714,4.0
82,2014-08-01,24934,25.0
83,2014-09-01,25015,13.0
84,2014-10-01,25157,12.0
85,2014-11-01,25164,4.0
86,2014-12-01,25298,11.0
87,2015-01-01,25336,52.0
88,2015-02-01,25530,11.0
89,2015-03-01,25737,22.0
90,2015-04-01,26523,14.0
91,2015-05-01,89890,6041.0
92,2015-06-01,84144,6781.0
93,2015-07-01,77540,28241.0
