,timestamp,Sichtbar,Gelöscht
0,2007-10-01,2,
1,2007-11-01,2,
2,2007-12-01,10,1.0
3,2008-01-01,14,4.0
4,2008-02-01,22,1.0
5,2008-03-01,22,
6,2008-04-01,22,
7,2008-05-01,24,
8,2008-06-01,26,
9,2008-07-01,26,2.0
10,2008-08-01,80,
11,2008-09-01,80,
12,2008-10-01,81,
13,2008-11-01,84,
14,2008-12-01,87,4.0
15,2009-01-01,89,
16,2009-02-01,89,2.0
17,2009-03-01,88,1.0
18,2009-04-01,87,2.0
19,2009-05-01,88,
20,2009-06-01,88,
21,2009-07-01,109,1.0
22,2009-08-01,109,
23,2009-09-01,116,1.0
24,2009-10-01,137,5.0
25,2009-11-01,139,
26,2009-12-01,209,3.0
27,2010-01-01,208,7.0
28,2010-02-01,207,
29,2010-03-01,241,
30,2010-04-01,241,
31,2010-05-01,241,
32,2010-06-01,252,2.0
33,2010-07-01,251,
34,2010-08-01,308,1.0
35,2010-09-01,313,4.0
36,2010-10-01,349,7.0
37,2010-11-01,365,2.0
38,2010-12-01,370,
39,2011-01-01,372,1.0
40,2011-02-01,373,
41,2011-03-01,373,10.0
42,2011-04-01,381,33.0
43,2011-05-01,389,1.0
44,2011-06-01,395,1.0
45,2011-07-01,407,
46,2011-08-01,482,1.0
47,2011-09-01,1202,578.0
48,2011-10-01,1355,7.0
49,2011-11-01,1350,8.0
50,2011-12-01,1373,81.0
51,2012-01-01,1376,6.0
52,2012-02-01,1377,8.0
53,2012-03-01,1372,2.0
54,2012-04-01,1375,1.0
55,2012-05-01,1374,5.0
56,2012-06-01,1371,
57,2012-07-01,1290,2.0
58,2012-08-01,1274,1.0
59,2012-09-01,1274,
60,2012-10-01,1262,
61,2012-11-01,1276,
62,2012-12-01,1281,
63,2013-01-01,1357,7.0
64,2013-02-01,1361,1.0
65,2013-03-01,1360,
66,2013-04-01,1361,
67,2013-05-01,1365,1.0
68,2013-06-01,1369,
69,2013-07-01,1376,
70,2013-08-01,1381,
71,2013-09-01,1381,
72,2013-10-01,1381,1.0
73,2013-11-01,1382,1.0
74,2013-12-01,1385,
75,2014-01-01,1397,1.0
76,2014-02-01,1398,1.0
77,2014-03-01,1403,
78,2014-04-01,1406,
79,2014-05-01,1408,
80,2014-06-01,1425,1.0
81,2014-07-01,1425,
82,2014-08-01,1429,
83,2014-09-01,1429,
84,2014-10-01,1430,4.0
85,2014-11-01,1432,
86,2014-12-01,1447,
87,2015-01-01,1469,
88,2015-02-01,1478,
89,2015-03-01,1489,3.0
90,2015-04-01,1496,
91,2015-05-01,1513,
92,2015-06-01,1513,
93,2015-07-01,1518,
94,2015-08-01,1526,
95,2015-09-01,1528,
96,2015-10-01,1533,
97,2015-11-01,1533,
98,2015-12-01,1533,
99,2016-01-01,1533,
100,2016-02-01,1536,
101,2016-03-01,1536,
102,2016-04-01,1536,
103,2016-05-01,1536,
104,2016-06-01,1536,
105,2016-07-01,1537,
106,2016-08-01,1542,1.0
107,2016-09-01,1551,
108,2016-10-01,1576,1.0
109,2016-11-01,1308,
110,2016-12-01,1307,
111,2017-01-01,1307,
112,2017-02-01,1262,
113,2017-03-01,1252,
114,2017-04-01,1253,
115,2017-05-01,1259,
116,2017-06-01,1260,
117,2017-07-01,1283,1.0
118,2017-08-01,1283,
119,2017-09-01,1284,
120,2017-10-01,1284,1.0
121,2017-11-01,1280,
122,2017-12-01,1280,2.0
123,2018-01-01,1264,
124,2018-02-01,1266,
125,2018-03-01,1271,
126,2018-04-01,1273,6.0
127,2018-05-01,1274,
128,2018-06-01,1276,
129,2018-07-01,1277,1.0
130,2018-08-01,1280,1.0
131,2018-09-01,1283,
132,2018-10-01,1288,1.0
133,2018-11-01,1288,
134,2018-12-01,1286,
135,2019-01-01,1284,1.0
136,2019-02-01,1288,1.0
137,2019-03-01,98722,95847.0
138,2019-04-01,1277,4.0
139,2019-05-01,1288,1.0
140,2019-06-01,1288,3.0
141,2019-07-01,1288,
142,2019-08-01,1290,
143,2019-09-01,1290,
144,2019-10-01,1289,1.0
145,2019-11-01,1287,
146,2019-12-01,1287,2.0
147,2020-01-01,1285,
148,2020-02-01,1282,
149,2020-03-01,1283,
150,2020-04-01,1286,
151,2020-05-01,1286,21.0
152,2020-06-01,1285,
153,2020-07-01,1285,
154,2020-08-01,1294,
155,2020-09-01,1294,
156,2020-10-01,1298,1.0
157,2020-11-01,1298,1.0
158,2020-12-01,1302,
159,2021-01-01,1304,1.0
160,2021-02-01,1304,
161,2021-03-01,1306,
162,2021-04-01,1313,4.0
163,2021-05-01,1308,
164,2021-06-01,1314,
165,2021-07-01,1331,9.0
166,2021-08-01,1328,
167,2021-09-01,858,1.0
168,2021-10-01,860,
169,2021-11-01,856,1.0
170,2021-12-01,856,
171,2022-01-01,872,2.0
172,2022-02-01,870,
173,2022-03-01,870,1.0
174,2022-04-01,869,
175,2022-05-01,869,
176,2022-06-01,869,
177,2022-07-01,869,2.0
178,2022-08-01,869,1.0
179,2022-09-01,875,
180,2022-10-01,881,
181,2022-11-01,887,1.0
182,2022-12-01,887,
183,2023-01-01,903,1.0
184,2023-02-01,910,
185,2023-03-01,891,2.0
186,2023-04-01,887,2.0
187,2023-05-01,889,14.0
188,2023-06-01,899,
189,2023-07-01,899,1.0
190,2023-08-01,898,
191,2023-09-01,900,
192,2023-10-01,906,
193,2023-11-01,916,1.0
194,2023-12-01,915,
195,2024-01-01,1224,3.0
196,2024-02-01,1259,
197,2024-03-01,1259,7.0
198,2024-04-01,1259,1.0
199,2024-05-01,1258,
200,2024-06-01,1259,
201,2024-07-01,1259,
202,2024-08-01,1253,
203,2024-09-01,1254,
204,2024-10-01,1254,
205,2024-11-01,1254,
206,2024-12-01,1254,
207,2025-01-01,1277,
208,2025-02-01,1271,
