,valid_from,changeset_id,changeset_tags
0,2014-03-19 15:56:14+01:00,21193632,"{'source': 'BAG 2014-03-19', 'comment': 'Import BAG Giethoorn nw', 'created_by': 'JOSM/1.5 (6891 nl)'}"
1,2014-03-29 03:03:45+01:00,21375910,"{'source': 'BAG 2014-03-24', 'comment': 'Import BAG Oldemarkt 2  (correctie bag import)', 'created_by': 'JOSM/1.5 (6891 nl)'}"
2,2014-03-18 09:36:29+01:00,21169092,"{'source': 'BAG 2014-03-18', 'comment': 'Import BAG Vollehoven e.o.', 'created_by': 'JOSM/1.5 (6891 nl)'}"
3,2014-03-18 09:36:35+01:00,21169092,"{'source': 'BAG 2014-03-18', 'comment': 'Import BAG Vollehoven e.o.', 'created_by': 'JOSM/1.5 (6891 nl)'}"
4,2014-03-19 15:56:26+01:00,21193632,"{'source': 'BAG 2014-03-19', 'comment': 'Import BAG Giethoorn nw', 'created_by': 'JOSM/1.5 (6891 nl)'}"
5,2014-03-29 03:05:21+01:00,21375910,"{'source': 'BAG 2014-03-24', 'comment': 'Import BAG Oldemarkt 2  (correctie bag import)', 'created_by': 'JOSM/1.5 (6891 nl)'}"
6,2014-03-29 03:04:17+01:00,21375910,"{'source': 'BAG 2014-03-24', 'comment': 'Import BAG Oldemarkt 2  (correctie bag import)', 'created_by': 'JOSM/1.5 (6891 nl)'}"
7,2014-03-28 20:11:28+01:00,21370718,"{'source': 'BAG 2014-03-24', 'comment': 'Import BAG Steenwijkerwold split zuid Bag correctie na slechte upload', 'created_by': 'JOSM/1.5 (6891 nl)'}"
8,2014-03-18 22:58:27+01:00,21182811,"{'source': 'BAG 2014-03-18', 'comment': 'Import BAG Blokzijl buiten 2', 'created_by': 'JOSM/1.5 (6891 nl)'}"
9,2014-03-20 00:00:27+01:00,21201728,"{'source': 'BAG 2014-03-19', 'comment': 'Import BAG Blankenham', 'created_by': 'JOSM/1.5 (6891 nl)'}"
10,2014-03-18 22:58:35+01:00,21182811,"{'source': 'BAG 2014-03-18', 'comment': 'Import BAG Blokzijl buiten 2', 'created_by': 'JOSM/1.5 (6891 nl)'}"
11,2014-03-19 08:55:21+01:00,21187173,"{'source': 'BAG 2014-03-19', 'comment': 'Import BAG Sint Jansklooster', 'created_by': 'JOSM/1.5 (6891 nl)'}"
12,2014-03-19 08:54:35+01:00,21187173,"{'source': 'BAG 2014-03-19', 'comment': 'Import BAG Sint Jansklooster', 'created_by': 'JOSM/1.5 (6891 nl)'}"
13,2014-03-18 09:36:17+01:00,21169092,"{'source': 'BAG 2014-03-18', 'comment': 'Import BAG Vollehoven e.o.', 'created_by': 'JOSM/1.5 (6891 nl)'}"
14,2014-03-13 00:29:58+01:00,21074861,"{'source': 'BAG 2014-03-13', 'comment': 'Import BAG Luttelgeest Buiten Oost', 'created_by': 'JOSM/1.5 (6891 nl)'}"
15,2014-03-28 23:35:49+01:00,21374110,"{'source': 'BAG 2014-03-24', 'comment': 'Import BAG Steenwijkerwold split noord Bag correctie na slechte upload na conflict', 'created_by': 'JOSM/1.5 (6891 nl)'}"
