,timestamp,Sichtbar,Gelöscht
0,2007-11-01,102,
1,2007-12-01,111,
2,2008-01-01,109,
3,2008-02-01,139,
4,2008-03-01,507,
5,2008-04-01,12366,
6,2008-05-01,14013,
7,2008-06-01,14637,
8,2008-07-01,14765,
9,2008-08-01,14928,
10,2008-09-01,16424,
11,2008-10-01,17324,
12,2008-11-01,18936,
13,2008-12-01,20017,
14,2009-01-01,21033,
15,2009-02-01,22392,
16,2009-03-01,23229,
17,2009-04-01,23570,
18,2009-05-01,24943,
19,2009-06-01,25638,
20,2009-07-01,26441,
21,2009-08-01,27344,
22,2009-09-01,29295,
23,2009-10-01,31317,
24,2009-11-01,38073,
25,2009-12-01,253833,1.0
26,2010-01-01,547477,
27,2010-02-01,884090,1.0
28,2010-03-01,1315715,
29,2010-04-01,1869055,
30,2010-05-01,2649901,
31,2010-06-01,2886435,1.0
32,2010-07-01,2888563,1.0
33,2010-08-01,2889734,11.0
34,2010-09-01,2890110,310.0
35,2010-10-01,2894027,67.0
36,2010-11-01,2904526,147.0
37,2010-12-01,2932084,7.0
38,2011-01-01,2935042,
39,2011-02-01,2936251,
40,2011-03-01,2937160,
41,2011-04-01,2938263,2.0
42,2011-05-01,2939796,
43,2011-06-01,2940807,14.0
44,2011-07-01,2942306,1.0
45,2011-08-01,2943859,10.0
46,2011-09-01,2946760,2.0
47,2011-10-01,2957993,
48,2011-11-01,2962141,9.0
49,2011-12-01,2964110,5.0
50,2012-01-01,2966751,2.0
51,2012-02-01,2968732,10.0
52,2012-03-01,2972284,8.0
53,2012-04-01,2982421,7.0
54,2012-05-01,2985271,16.0
55,2012-06-01,2988206,6.0
56,2012-07-01,2991182,27.0
57,2012-08-01,2992970,1.0
58,2012-09-01,2995940,7.0
59,2012-10-01,3000861,1.0
60,2012-11-01,3042991,1.0
61,2012-12-01,3056674,2.0
62,2013-01-01,3063743,3.0
63,2013-02-01,3066095,1.0
64,2013-03-01,3067699,4.0
65,2013-04-01,3072234,32.0
66,2013-05-01,3073503,3.0
67,2013-06-01,3075692,177.0
68,2013-07-01,3082949,
69,2013-08-01,3083563,
70,2013-09-01,3084841,2.0
71,2013-10-01,3107768,13.0
72,2013-11-01,3147626,2.0
73,2013-12-01,3161542,41.0
74,2014-01-01,3275937,41.0
75,2014-02-01,3413069,15.0
76,2014-03-01,3691580,2064.0
77,2014-04-01,5246879,3142.0
78,2014-05-01,7227172,5435.0
79,2014-06-01,8795202,2956.0
80,2014-07-01,9396578,2240.0
81,2014-08-01,9532154,3115.0
82,2014-09-01,9758668,67.0
83,2014-10-01,9841724,2.0
84,2014-11-01,9842577,3.0
85,2014-12-01,9843166,
86,2015-01-01,9842999,5.0
87,2015-02-01,9843045,
88,2015-03-01,9843534,
89,2015-04-01,9844282,2.0
90,2015-05-01,9844837,29.0
91,2015-06-01,9845234,26.0
92,2015-07-01,9846989,2.0
93,2015-08-01,9849824,5.0
94,2015-09-01,9851569,
95,2015-10-01,9854941,9.0
96,2015-11-01,9856982,49.0
97,2015-12-01,9861104,1.0
98,2016-01-01,9869122,4.0
99,2016-02-01,9877018,2.0
100,2016-03-01,9882694,1.0
101,2016-04-01,9892634,7.0
102,2016-05-01,9903545,6.0
103,2016-06-01,9910866,4.0
104,2016-07-01,9919763,18.0
105,2016-08-01,9927709,10.0
106,2016-09-01,9933986,1.0
107,2016-10-01,9946777,226.0
108,2016-11-01,9958410,230.0
109,2016-12-01,9968534,218.0
110,2017-01-01,9982008,101.0
111,2017-02-01,9992209,344.0
112,2017-03-01,10000576,252.0
113,2017-04-01,10001750,44.0
114,2017-05-01,10011216,26.0
115,2017-06-01,10020209,27.0
116,2017-07-01,10030345,55.0
117,2017-08-01,10038058,14.0
118,2017-09-01,10049840,31.0
119,2017-10-01,10059298,11.0
120,2017-11-01,10059698,33.0
121,2017-12-01,10070506,19.0
122,2018-01-01,10082764,14.0
123,2018-02-01,10090468,17.0
124,2018-03-01,10101516,28.0
125,2018-04-01,10112116,19.0
126,2018-05-01,10122115,7.0
127,2018-06-01,10135524,31.0
128,2018-07-01,10149282,11.0
129,2018-08-01,10163749,11.0
130,2018-09-01,10173454,42.0
131,2018-10-01,10185517,1.0
132,2018-11-01,10190220,3.0
133,2018-12-01,10201622,2.0
134,2019-01-01,10208662,8.0
135,2019-02-01,10214381,15.0
136,2019-03-01,10218156,28.0
137,2019-04-01,10227816,12.0
138,2019-05-01,10238925,19.0
139,2019-06-01,10249123,16.0
140,2019-07-01,10260070,4.0
141,2019-08-01,10267188,25.0
142,2019-09-01,10280936,125.0
143,2019-10-01,10299560,36.0
144,2019-11-01,10319688,22.0
145,2019-12-01,10332333,4.0
146,2020-01-01,10339983,3.0
147,2020-02-01,10349768,7.0
148,2020-03-01,10358086,116.0
149,2020-04-01,10372229,34.0
150,2020-05-01,10390162,29.0
151,2020-06-01,10407145,23.0
152,2020-07-01,10412066,31.0
153,2020-08-01,10419455,4.0
154,2020-09-01,10438110,47.0
155,2020-10-01,10456334,15.0
156,2020-11-01,10468592,66.0
157,2020-12-01,10479299,16.0
158,2021-01-01,10493645,7.0
159,2021-02-01,10505314,19.0
160,2021-03-01,10519228,18.0
161,2021-04-01,10533328,71.0
162,2021-05-01,10550346,54.0
163,2021-06-01,10579433,85.0
164,2021-07-01,10599159,55.0
165,2021-08-01,10606421,36.0
166,2021-09-01,10616617,16.0
167,2021-10-01,10626385,29.0
168,2021-11-01,10642448,39.0
169,2021-12-01,10662073,74.0
170,2022-01-01,10681098,23.0
171,2022-02-01,10689781,31.0
172,2022-03-01,10697285,26.0
173,2022-04-01,10708715,25.0
174,2022-05-01,10719192,29.0
175,2022-06-01,10732645,20.0
176,2022-07-01,10745509,12.0
177,2022-08-01,10753782,6.0
178,2022-09-01,10759226,4.0
179,2022-10-01,10765771,31.0
180,2022-11-01,10778966,23.0
181,2022-12-01,10785325,9.0
182,2023-01-01,10796044,27.0
183,2023-02-01,10803433,41.0
184,2023-03-01,10809824,14.0
185,2023-04-01,10821026,10.0
186,2023-05-01,10826592,51.0
187,2023-06-01,10834753,12.0
188,2023-07-01,10849118,9.0
189,2023-08-01,10863348,16.0
190,2023-09-01,10880107,4.0
191,2023-10-01,10896100,148.0
192,2023-11-01,10927544,548.0
193,2023-12-01,10937579,70.0
194,2024-01-01,10963419,123.0
195,2024-02-01,10994123,58.0
196,2024-03-01,11029101,34.0
197,2024-04-01,11061178,23.0
198,2024-05-01,11094591,12.0
199,2024-06-01,11146122,9.0
200,2024-07-01,11185682,4.0
201,2024-08-01,11206979,
202,2024-09-01,11227592,
203,2024-10-01,11251222,
204,2024-11-01,11273794,
205,2024-12-01,11290571,
206,2025-01-01,11302127,
207,2025-02-01,11317527,
